FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
070409;1900;;113,5;;
070409;2000;;143,5;;
070409;2100;;125,3;;
070409;2200;;123,5;;
070409;2300;;112,2;;
070410;0000;;70,8197;;
070410;0100;;43,08;;
070410;0200;;58,27;;
070410;0300;;56,77;;
070410;0400;;41,3;;
070410;0500;;24,72;;
070410;0600;;25,84;;
070410;0700;;59,47;;
070410;0800;;65,6;;
070410;0900;;62,2599;;
070410;1000;;53,73;;
070410;1100;;41;;
070410;1200;;35,8799;;
070410;1300;;25,85;;
070410;1400;;31,33;;
070410;1500;;27,96;;
070410;1600;;37,59;;
070410;1700;;54,8;;
070410;1800;;43,7599;;
070410;1900;;25,27;;
070410;2000;;31,02;;
070410;2100;;25,15;;
070410;2200;;28,84;;
070410;2300;;31,19;;
070411;0000;;17,07;;
070411;0100;;22,17;;
070411;0200;;10,5;;
070411;0300;;9,75998;;
070411;0400;;11,48;;
070411;0500;;12,56;;
070411;0600;;30,27;;
070411;0700;;51,24;;
070411;0800;;87,6;;
070411;0900;;47,5;;
070411;1000;;48,84;;
070411;1100;;65,45;;
070411;1200;;52,5699;;
070411;1300;;47,17;;
070411;1400;;44,95;;
070411;1500;;76,75;;
070411;1600;;89,6;;
070411;1700;;53,3199;;
070411;1800;;85,1;;
070411;1900;;118,6;;
070411;2000;;129,9;;
070411;2100;;92,2;;
070411;2200;;62,36;;
070411;2300;;53,33;;
070412;0000;;46,23;;
070412;0100;;33,71;;
070412;0200;;21,84;;
070412;0300;;15,43;;
070412;0400;;13,37;;
070412;0500;;20,2;;
070412;0600;;21,7;;
070412;0700;;10;;
070412;0800;;29,3;;
070412;0900;;33,86;;
070412;1000;;31,58;;
070412;1100;;37,8199;;
070412;1200;;34,67;;
070412;1300;;26,61;;
070412;1400;;31,33;;
070412;1500;;63,7;;
070412;1600;;67,23;;
070412;1700;;61,93;;
070412;1800;;84,7997;;
070412;1900;;100,8;;
070412;2000;;106,9;;
070412;2100;;105;;
070412;2200;;84;;
070412;2300;;63,11;;
070413;0000;;67,46;;
070413;0100;;87,1;;
070413;0200;;56,81;;
070413;0300;;36,17;;
070413;0400;;31,89;;
070413;0500;;27,45;;
070413;0600;;27,48;;
070413;0700;;51,53;;
070413;0800;;49,11;;
070413;0900;;58,98;;
070413;1000;;60,78;;
070413;1100;;67,23;;
070413;1200;;81;;
070413;1300;;47,7599;;
070413;1400;;45,72;;
070413;1500;;76,9098;;
070413;1600;;80,8999;;
070413;1700;;41,4399;;
070413;1800;;64,9098;;
070413;1900;;73,48;;
070413;2000;;70,61;;
070413;2100;;56,08;;
070413;2200;;59,8;;
070413;2300;;29,31;;
070414;0000;;25,99;;
070414;0100;;24,75;;
070414;0200;;27,93;;
070414;0300;;24,21;;
070414;0400;;29,87;;
070414;0500;;21,05;;
070414;0600;;29,63;;
070414;0700;;27,47;;
070414;0800;;32,77;;
070414;0900;;36,7599;;
070414;1000;;70,22;;
070414;1100;;85,7997;;
070414;1200;;72,1499;;
070414;1300;;60,23;;
070414;1400;;70,11;;
070414;1500;;78,23;;
070414;1600;;82,7;;
070414;1700;;88,1;;
070414;1800;;92,1;;
070414;1900;;112,4;;
070414;2000;;136,5;;
070414;2100;;144,8;;
070414;2200;;174,1;;
070414;2300;;171,4;;
070415;0000;;135,4;;
070415;0100;;107,5;;
070415;0200;;113,1;;
070415;0300;;83,6;;
070415;0400;;54,55;;
070415;0500;;37,3;;
070415;0600;;56,34;;
070415;0700;;17,99;;
070415;0800;;35,9399;;
070415;0900;;34,64;;
070415;1000;;39,1;;
