FECHA (YYMMDD);HORA (HHMM);;
070412;0400;1,636;
070412;0500;2,011;
070412;0600;1,901;
070412;0700;1,879;
070412;0800;1,765;
070412;0900;2,038;
070412;1000;2,044;
070412;1100;2,208;
070412;1200;2,324;
070412;1300;2,291;
070412;1400;2,553;
070412;1500;2,429;
070412;1600;2,105;
070412;1700;1,928;
070412;1800;1,704;
070412;1900;1,49;
070412;2000;1,002;
070412;2100;1,657;
070412;2200;0,792998;
070412;2300;1,327;
070413;0000;1,598;
070413;0100;1,774;
070413;0200;0,648;
070413;0300;0,542998;
070413;0400;0,782;
070413;0500;0,822;
070413;0600;1,6;
070413;0700;1,006;
070413;0800;0,922;
070413;0900;1,07;
070413;1000;0,947;
070413;1100;0,908998;
070413;1200;1,481;
070413;1300;2,7;
070413;1400;2,375;
070413;1500;1,936;
070413;1600;1,344;
070413;1700;2,705;
070413;1800;2,76;
070413;1900;2,083;
070413;2000;1,542;
070413;2100;1,829;
070413;2200;0,974998;
070413;2300;2,088;
070414;0000;1,378;
070414;0100;1,083;
070414;0200;0,875;
070414;0300;0,641998;
070414;0400;0,648;
070414;0500;1,126;
070414;0600;0,978;
070414;0700;1,503;
070414;0800;1,49;
070414;0900;1,827;
070414;1000;1,55;
070414;1100;1,843;
070414;1200;1,211;
070414;1300;1,168;
070414;1400;1,186;
070414;1500;0,921;
070414;1600;0,879;
070414;1700;0,700998;
070414;1800;0,967;
070414;1900;0,870998;
070414;2000;1,14;
070414;2100;0,705;
070414;2200;0,475;
070414;2300;0,46;
070415;0000;0,516998;
070415;0100;0,561998;
070415;0200;0,684999;
070415;0300;0,639;
070415;0400;0,418;
070415;0500;0,638;
070415;0600;0,651;
070415;0700;0,822;
070415;0800;0,684999;
070415;0900;0,704;
070415;1000;0,482;
070415;1100;0,740998;
070415;1200;0,98;
070415;1300;1,289;
070415;1400;1,339;
070415;1500;1,423;
070415;1600;1,578;
070415;1700;2,089;
070415;1800;1,779;
070415;1900;1,059;
070415;2000;1,44;
070415;2100;1,184;
070415;2200;0,528;
070415;2300;1,189;
070416;0000;0,901;
070416;0100;0,804998;
070416;0200;0,809999;
070416;0300;0,785998;
070416;0400;1,265;
070416;0500;1,686;
070416;0600;0,957;
070416;0700;1,111;
070416;0800;0,705;
070416;0900;0,971998;
070416;1000;1,079;
070416;1100;2,458;
070416;1200;2,541;
070416;1300;2,951;
070416;1400;3,086;
070416;1500;3,188;
070416;1600;3,364;
070416;1700;3,4;
070416;1800;2,811;
070416;1900;1,074;
070416;2000;1,966;
070416;2100;1,139;
070416;2200;0,908;
070416;2300;1,198;
070417;0000;1,053;
070417;0100;0,74;
070417;0200;0,801;
070417;0300;0,684999;
070417;0400;0,818998;
070417;0500;1,24;
070417;0600;0,719;
070417;0700;0,648;
070417;0800;0,794998;
070417;0900;0,842;
070417;1000;1,006;
070417;1100;0,822;
070417;1200;1,314;
070417;1300;1,836;
070417;1400;1,367;
070417;1500;1,704;
070417;1600;1,638;
070417;1700;1,843;
070417;1800;2,118;
070417;1900;1,156;
070417;2000;0,648998;
070417;2100;1,022;
070417;2200;0,921;
070417;2300;0,693998;
070418;0000;1,033;
070418;0100;0,759;
070418;0200;0,473;
070418;0300;0,516;
070418;0400;0,434;
070418;0500;0,914;
070418;0600;0,710999;
070418;0700;0,592;
070418;0800;0,674;
070418;0900;0,506;
070418;1000;0,759;
070418;1100;0,938998;
070418;1200;1,74;
070418;1300;1,76;
070418;1400;1,718;
070418;1500;1,471;
070418;1600;1,408;
070418;1700;1,663;
070418;1800;2,316;
070418;1900;1,256;
070418;2000;2,349;
070418;2100;1,58;
070418;2200;0,62;
070418;2300;0,997;
070419;0000;0,551998;
070419;0100;0,698;
070419;0200;0,801998;
070419;0300;0,955;
070419;0400;0,78;
070419;0500;0,709;
070419;0600;0,721998;
070419;0700;0,992998;
070419;0800;0,985998;
070419;0900;1,085;
070419;1000;1,526;
070419;1100;0,823;
070419;1200;2,018;
070419;1300;3,713;
070419;1400;2,776;
070419;1500;3,085;
070419;1600;2,92;
070419;1700;2,527;
070419;1800;1,603;
070419;1900;1,194;
070419;2000;1,398;
070419;2100;1,781;
070419;2200;1,814;
070419;2300;2,101;
070420;0000;2,896;
070420;0100;2,437;
070420;0200;2,491;
