FECHA (YYMMDD);HORA (HHMM);;
140101;0100;42;
140101;0200;53;
140101;0300;61;
140101;0400;68;
140101;0500;71;
140101;0600;63;
140101;0700;49;
140101;0800;42;
140101;0900;38;
140101;1000;36;
140101;1100;33;
140101;1200;30;
140101;1300;29;
140101;1400;28;
140101;1500;27;
140101;1600;26;
140101;1700;25;
140101;1800;28;
140101;1900;39;
140101;2000;45;
140101;2100;46;
140101;2200;47;
140101;2300;48;
140102;0000;47;
140102;0100;47;
140102;0200;51;
140102;0300;56;
140102;0400;64;
140102;0500;69;
140102;0600;70;
140102;0700;65;
140102;0800;53;
140102;0900;44;
140102;1000;44;
140102;1100;40;
140102;1200;38;
140102;1300;36;
140102;1400;34;
140102;1500;32;
140102;1600;30;
140102;1700;28;
140102;1800;27;
140102;1900;28;
140102;2000;30;
140102;2100;33;
140102;2200;37;
140102;2300;41;
140103;0000;42;
140103;0100;44;
140103;0200;48;
140103;0300;51;
140103;0400;57;
140103;0500;59;
140103;0600;56;
140103;0700;49;
140103;0800;43;
140103;0900;37;
140103;1000;33;
140103;1100;31;
140103;1200;29;
140103;1300;26;
140103;1400;21;
140103;1500;14;
140103;1600;11;
140103;1700;8;
140103;1800;11;
140103;1900;16;
140103;2000;22;
140103;2100;26;
140103;2200;31;
140103;2300;35;
140104;0000;39;
140104;0100;44;
140104;0200;43;
140104;0300;46;
140104;0400;48;
140104;0500;51;
140104;0600;51;
140104;0700;41;
140104;0800;32;
140104;0900;28;
140104;1000;26;
140104;1100;23;
140104;1200;21;
140104;1300;20;
140104;1400;20;
140104;1500;19;
140104;1600;19;
140104;1700;19;
140104;1800;21;
140104;1900;26;
140104;2000;31;
140104;2100;33;
140104;2200;34;
140104;2300;35;
140105;0000;40;
140105;0100;47;
140105;0200;51;
140105;0300;55;
140105;0400;58;
140105;0500;59;
140105;0600;57;
140105;0700;45;
140105;0800;37;
140105;0900;38;
140105;1000;36;
140105;1100;35;
140105;1200;34;
140105;1300;33;
140105;1400;32;
140105;1500;32;
140105;1600;34;
140105;1700;34;
140105;1800;38;
140105;1900;43;
140105;2000;47;
140105;2100;47;
140105;2200;48;
140105;2300;51;
140106;0000;57;
140106;0100;61;
140106;0200;67;
140106;0300;68;
140106;0400;69;
140106;0500;71;
140106;0600;69;
140106;0700;59;
140106;0800;50;
140106;0900;43;
140106;1000;39;
140106;1100;36;
140106;1200;34;
140106;1300;30;
140106;1400;29;
140106;1500;27;
140106;1600;23;
140106;1700;17;
140106;1800;12;
140106;1900;14;
140106;2000;20;
140106;2100;22;
140106;2200;24;
140106;2300;28;
140107;0000;32;
140107;0100;35;
140107;0200;35;
140107;0300;38;
140107;0400;45;
140107;0500;56;
140107;0600;47;
140107;0700;41;
140107;0800;32;
140107;0900;34;
140107;1000;29;
140107;1100;25;
140107;1200;22;
140107;1300;17;
140107;1400;18;
140107;1500;18;
140107;1600;16;
140107;1700;14;
140107;1800;12;
140107;1900;16;
140107;2000;18;
140107;2100;25;
140107;2200;31;
140107;2300;31;
140108;0000;30;
140108;0100;31;
140108;0200;33;
140108;0300;35;
140108;0400;40;
140108;0500;34;
140108;0600;32;
140108;0700;31;
140108;0800;33;
140108;0900;25;
140108;1000;21;
140108;1100;24;
140108;1200;25;
140108;1300;28;
140108;1400;29;
140108;1500;31;
140108;1600;33;
140108;1700;37;
140108;1800;44;
140108;1900;51;
140108;2000;57;
140108;2100;63;
140108;2200;67;
140108;2300;70;
140109;0000;71;
140109;0100;75;
140109;0200;76;
140109;0300;79;
140109;0400;81;
140109;0500;82;
140109;0600;82;
140109;0700;73;
140109;0800;60;
140109;0900;50;
140109;1000;45;
140109;1100;41;
140109;1200;37;
140109;1300;36;
140109;1400;34;
140109;1500;35;
140109;1600;33;
140109;1700;31;
140109;1800;27;
140109;1900;26;
140109;2000;28;
140109;2100;34;
140109;2200;35;
140109;2300;39;
140110;0000;48;
140110;0100;62;
140110;0200;68;
140110;0300;73;
140110;0400;79;
140110;0500;78;
140110;0600;67;
140110;0700;58;
140110;0800;50;
140110;0900;37;
140110;1000;33;
140110;1100;30;
140110;1200;29;
140110;1300;27;
140110;1400;26;
140110;1500;27;
140110;1600;27;
140110;1700;26;
140110;1800;26;
140110;1900;28;
140110;2000;33;
140110;2100;35;
140110;2200;36;
140110;2300;39;
140111;0000;44;
140111;0100;50;
140111;0200;52;
140111;0300;53;
140111;0400;57;
140111;0500;61;
140111;0600;58;
140111;0700;47;
140111;0800;36;
140111;0900;34;
140111;1000;27;
140111;1100;21;
140111;1200;21;
140111;1300;23;
140111;1400;22;
140111;1500;17;
140111;1600;15;
140111;1700;18;
140111;1800;20;
140111;1900;23;
140111;2000;21;
140111;2100;24;
140111;2200;42;
140111;2300;46;
140112;0000;48;
140112;0100;50;
140112;0200;51;
140112;0300;53;
140112;0400;55;
140112;0500;59;
140112;0600;57;
140112;0700;44;
140112;0800;37;
140112;0900;33;
140112;1000;27;
140112;1100;25;
140112;1200;23;
140112;1300;24;
140112;1400;23;
140112;1500;23;
140112;1600;24;
140112;1700;26;
140112;1800;32;
140112;1900;40;
140112;2000;46;
140112;2100;52;
140112;2200;54;
140112;2300;60;
140113;0000;70;
140113;0100;75;
140113;0200;77;
140113;0300;77;
140113;0400;78;
140113;0500;79;
140113;0600;82;
140113;0700;78;
140113;0800;70;
140113;0900;55;
140113;1000;57;
140113;1100;51;
140113;1200;47;
140113;1300;40;
140113;1400;35;
140113;1500;35;
140113;1600;36;
140113;1700;38;
140113;1800;38;
140113;1900;41;
140113;2000;46;
140113;2100;51;
140113;2200;57;
140113;2300;61;
140114;0000;64;
140114;0100;70;
140114;0200;69;
140114;0300;72;
140114;0400;73;
140114;0500;72;
140114;0600;73;
140114;0700;65;
140114;0800;57;
140114;0900;46;
140114;1000;42;
140114;1100;38;
140114;1200;35;
140114;1300;32;
140114;1400;33;
140114;1500;30;
140114;1600;29;
140114;1700;30;
140114;1800;30;
140114;1900;32;
140114;2000;37;
140114;2100;42;
140114;2200;44;
140114;2300;46;
140115;0000;54;
140115;0100;57;
140115;0200;60;
140115;0300;60;
140115;0400;66;
140115;0500;70;
140115;0600;67;
140115;0700;59;
140115;0800;51;
140115;0900;44;
140115;1000;39;
140115;1100;37;
140115;1200;39;
140115;1300;37;
140115;1400;36;
140115;1500;37;
140115;1600;38;
140115;1700;41;
140115;1800;44;
140115;1900;49;
140115;2000;53;
140115;2100;56;
140115;2200;59;
140115;2300;62;
140116;0000;65;
140116;0100;68;
140116;0200;72;
140116;0300;76;
140116;0400;77;
140116;0500;77;
140116;0600;79;
140116;0700;73;
140116;0800;64;
140116;0900;57;
140116;1000;53;
140116;1100;47;
140116;1200;43;
140116;1300;40;
140116;1400;39;
140116;1500;38;
140116;1600;38;
140116;1700;40;
140116;1800;43;
140116;1900;48;
140116;2000;54;
140116;2100;56;
140116;2200;58;
140116;2300;61;
140117;0000;63;
140117;0100;66;
140117;0200;68;
140117;0300;67;
140117;0400;69;
140117;0500;77;
140117;0600;78;
140117;0700;71;
140117;0800;61;
140117;0900;54;
140117;1000;49;
140117;1100;46;
140117;1200;42;
140117;1300;39;
140117;1400;39;
140117;1500;38;
140117;1600;38;
140117;1700;37;
140117;1800;38;
140117;1900;42;
140117;2000;47;
140117;2100;50;
140117;2200;54;
140117;2300;57;
140118;0000;59;
140118;0100;61;
140118;0200;64;
140118;0300;67;
140118;0400;71;
140118;0500;73;
