FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140101;0100;8;;;
140101;0200;9;;;
140101;0300;9;;;
140101;0400;10;;;
140101;0500;10;;;
140101;0600;8;;;
140101;0700;9;;;
140101;0800;11;;;
140101;0900;11;;;
140101;1000;10;;;
140101;1100;10;;;
140101;1200;12;;;
140101;1300;13;;;
140101;1400;23;;;
140101;1500;13;;;
140101;1600;10;;;
140101;1700;7;;;
140101;1800;4;;;
140101;1900;4;;;
140101;2000;9;;;
140101;2100;7;;;
140101;2200;5;;;
140101;2300;5;;;
140102;0000;4;;;
140102;0100;4;;;
140102;0200;5;;;
140102;0300;8;;;
140102;0400;8;;;
140102;0500;5;;;
140102;0600;15;;;
140102;0700;6;;;
140102;0800;9;;;
140102;0900;12;;;
140102;1000;13;;;
140102;1100;13;;;
140102;1200;17;;;
140102;1300;16;;;
140102;1400;12;;;
140102;1500;12;;;
140102;1600;11;;;
140102;1700;8;;;
140102;1800;6;;;
140102;1900;5;;;
140102;2000;4;;;
140102;2100;23;;;
140102;2200;9;;;
140102;2300;11;;;
140103;0000;9;;;
140103;0100;5;;;
140103;0200;4;;;
140103;0300;4;;;
140103;0400;6;;;
140103;0500;7;;;
140103;0600;6;;;
140103;0700;9;;;
140103;0800;12;;;
140103;0900;13;;;
140103;1000;12;;;
140103;1100;20;;;
140103;1200;15;;;
140103;1300;14;;;
140103;1400;16;;;
140103;1500;18;;;
140103;1600;14;;;
140103;1700;25;;;
140103;1800;20;;;
140103;1900;10;;;
140103;2000;15;;;
140103;2100;26;;;
140103;2200;30;;;
140103;2300;27;;;
140104;0000;20;;;
140104;0100;38;;;
140104;0200;20;;;
140104;0300;14;;;
140104;0400;18;;;
140104;0500;16;;;
140104;0600;25;;;
140104;0700;15;;;
140104;0800;18;;;
140104;0900;16;;;
140104;1000;14;;;
140104;1100;12;;;
140104;1200;10;;;
140104;1300;4;;;
140104;1400;5;;;
140104;1500;9;;;
140104;1600;7;;;
140104;1700;6;;;
140104;1800;9;;;
140104;1900;17;;;
140104;2000;21;;;
140104;2100;23;;;
140104;2200;24;;;
140104;2300;20;;;
140105;0000;12;;;
140105;0100;23;;;
140105;0200;11;;;
140105;0300;11;;;
140105;0400;10;;;
140105;0500;11;;;
140105;0600;22;;;
140105;0700;23;;;
140105;0800;50;;;
140105;0900;27;;;
140105;1000;;;146,2;
140105;1100;23;;;
140105;1200;23;;;
140105;1300;27;;;
140105;1400;21;;;
140105;1500;26;;;
140105;1600;32;;;
140105;1700;26;;;
140105;1800;29;;;
140105;1900;32;;;
140105;2000;23;;;
140105;2100;27;;;
140105;2200;21;;;
140105;2300;24;;;
140106;0000;28;;;
140106;0100;24;;;
140106;0200;26;;;
140106;0300;24;;;
140106;0400;24;;;
140106;0500;21;;;
140106;0600;34;;;
140106;0700;31;;;
140106;0800;31;;;
140106;0900;32;;;
140106;1000;45;;;
140106;1100;27;;;
140106;1200;33;;;
140106;1300;37;;;
140106;1400;37;;;
140106;1500;33;;;
140106;1600;31;;;
140106;1700;22;;;
140106;1800;13;;;
140106;1900;11;;;
140106;2000;20;;;
140106;2100;17;;;
140106;2200;8;;;
140106;2300;10;;;
140107;0000;13;;;
140107;0100;12;;;
140107;0200;12;;;
140107;0300;12;;;
140107;0400;10;;;
140107;0500;19;;;
140107;0600;21;;;
140107;0700;15;;;
140107;0800;18;;;
