FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140101;0100;41;;;
140101;0200;41;;;
140101;0300;36;;;
140101;0400;30;;;
140101;0500;37;;;
140101;0600;45;;;
140101;0700;45;;;
140101;0800;38;;;
140101;0900;34;;;
140101;1000;62;;;
140101;1100;80;;;
140101;1200;111;;;
140101;1300;107;;;
140101;1400;91;;;
140101;1500;66;;;
140101;1600;62;;;
140101;1700;54;;;
140101;1800;80;;;
140101;1900;60;;;
140101;2000;56;;;
140101;2100;51;;;
140101;2200;29;;;
140101;2300;31;;;
140102;0000;21;;;
140102;0100;22;;;
140102;0200;25;;;
140102;0300;34;;;
140102;0400;38;;;
140102;0500;34;;;
140102;0600;46;;;
140102;0700;55;;;
140102;0800;56;;;
140102;0900;51;;;
140102;1000;79;;;
140102;1100;87;;;
140102;1200;118;;;
140102;1300;185;;;
140102;1400;138;;;
140102;1500;103;;;
140102;1600;102;;;
140102;1700;90;;;
140102;1800;73;;;
140102;1900;60;;;
140102;2000;68;;;
140102;2100;74;;;
140102;2200;62;;;
140102;2300;50;;;
140103;0000;43;;;
140103;0100;40;;;
140103;0200;29;;;
140103;0300;34;;;
140103;0400;36;;;
140103;0500;49;;;
140103;0600;56;;;
140103;0700;81;;;
140103;0800;73;;;
140103;0900;79;;;
140103;1000;94;;;
140103;1100;171;;;
140103;1200;169;;;
140103;1300;139;;;
140103;1400;143;;;
140103;1500;190;;;
140103;1600;162;;;
140103;1700;234;;;
140103;1800;115;;;
140103;1900;67;;;
140103;2000;87;;;
140103;2100;94;;;
140103;2200;98;;;
140103;2300;84;;;
140104;0000;75;;;
140104;0100;94;;;
140104;0200;54;;;
140104;0300;53;;;
140104;0400;57;;;
140104;0500;69;;;
140104;0600;85;;;
140104;0700;81;;;
140104;0800;78;;;
140104;0900;78;;;
140104;1000;74;;;
140104;1100;71;;;
140104;1200;73;;;
140104;1300;68;;;
140104;1400;118;;;
140104;1500;112;;;
140104;1600;100;;;
140104;1700;62;;;
140104;1800;67;;;
140104;1900;68;;;
140104;2000;86;;;
140104;2100;97;;;
140104;2200;90;;;
140104;2300;82;;;
140105;0000;72;;;
140105;0100;61;;;
