FECHA (YYMMDD);HORA (HHMM);;
140101;0100;977;
140101;0200;977,417;
140101;0300;977;
140101;0400;976,833;
140101;0500;977;
140101;0600;977;
140101;0700;977;
140101;0800;977;
140101;0900;976,75;
140101;1000;976;
140101;1100;975,75;
140101;1200;975,5;
140101;1300;975;
140101;1400;974;
140101;1500;973,333;
140101;1600;972,75;
140101;1700;972;
140101;1800;972,667;
140101;1900;973,417;
140101;2000;974,417;
140101;2100;975,667;
140101;2200;976;
140101;2300;976;
140102;0000;976;
140102;0100;976;
140102;0200;976;
140102;0300;976,25;
140102;0400;977;
140102;0500;977,75;
140102;0600;978;
140102;0700;978;
140102;0800;977,583;
140102;0900;977;
140102;1000;977;
140102;1100;977;
140102;1200;977;
140102;1300;976,083;
140102;1400;976;
140102;1500;975,167;
140102;1600;974,667;
140102;1700;974;
140102;1800;974,5;
140102;1900;975,167;
140102;2000;976,167;
140102;2100;977;
140102;2200;977,667;
140102;2300;978;
140103;0000;978;
140103;0100;978;
140103;0200;978;
140103;0300;978;
140103;0400;978;
140103;0500;978,833;
140103;0600;979;
140103;0700;979;
140103;0800;978,75;
140103;0900;978;
140103;1000;978;
140103;1100;977,417;
140103;1200;977;
140103;1300;976,167;
140103;1400;976;
140103;1500;975;
140103;1600;975;
140103;1700;974,25;
140103;1800;974,25;
140103;1900;975;
140103;2000;975,5;
140103;2100;976;
140103;2200;975,167;
140103;2300;975;
140104;0000;974,917;
140104;0100;974;
140104;0200;973,583;
140104;0300;973;
140104;0400;973;
140104;0500;973;
140104;0600;973,583;
140104;0700;973,667;
140104;0800;973;
140104;0900;972,667;
140104;1000;972;
140104;1100;972;
140104;1200;972;
140104;1300;971,583;
140104;1400;971;
140104;1500;970,667;
140104;1600;969,75;
140104;1700;969;
140104;1800;969,333;
140104;1900;970;
140104;2000;970,333;
140104;2100;971;
140104;2200;971;
140104;2300;971;
140105;0000;971;
140105;0100;971;
140105;0200;971;
140105;0300;971;
140105;0400;971,917;
140105;0500;972,417;
140105;0600;973,083;
140105;0700;974;
140105;0800;974,833;
140105;0900;975;
140105;1000;975;
140105;1100;974,333;
140105;1200;974;
140105;1300;973,667;
140105;1400;973;
140105;1500;973;
140105;1600;972,75;
140105;1700;972;
140105;1800;972,167;
140105;1900;973;
140105;2000;973,583;
140105;2100;974;
140105;2200;974;
140105;2300;974;
140106;0000;974;
140106;0100;974;
140106;0200;974;
140106;0300;974;
140106;0400;974;
140106;0500;974;
140106;0600;974,583;
140106;0700;975;
140106;0800;975;
140106;0900;974,417;
140106;1000;974;
140106;1100;973,167;
140106;1200;973,083;
140106;1300;973;
140106;1400;973;
140106;1500;973;
140106;1600;972,083;
140106;1700;972;
140106;1800;972;
140106;1900;972,75;
140106;2000;973,333;
140106;2100;974;
140106;2200;974;
140106;2300;974;
140107;0000;974;
140107;0100;974;
140107;0200;974;
140107;0300;974;
140107;0400;974,667;
140107;0500;975;
140107;0600;975,5;
140107;0700;976;
140107;0800;975,667;
140107;0900;974,917;
140107;1000;974;
140107;1100;973,75;
140107;1200;973;
140107;1300;973;
140107;1400;973;
140107;1500;973;
140107;1600;972,333;
140107;1700;972;
140107;1800;972;
140107;1900;972,75;
140107;2000;973,833;
140107;2100;974;
140107;2200;974;
140107;2300;974,083;
140108;0000;974;
140108;0100;974;
140108;0200;973,083;
140108;0300;973;
140108;0400;973;
140108;0500;973,667;
140108;0600;974;
140108;0700;974;
140108;0800;974,75;
140108;0900;975;
140108;1000;974,25;
140108;1100;974,417;
140108;1200;975;
140108;1300;975;
140108;1400;974,583;
140108;1500;974;
140108;1600;974,5;
140108;1700;975;
140108;1800;975,083;
140108;1900;976,167;
140108;2000;977;
140108;2100;977,5;
140108;2200;978;
140108;2300;978;
140109;0000;978;
