FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140101;0100;56;;;
140101;0200;57;;;
140101;0300;173;;;
140101;0400;4;;;
140101;0500;58;;;
140101;0600;47;;;
140101;0700;19;;;
140101;0800;17;;;
140101;0900;40;;;
140101;1000;33;;;
140101;1100;20;;;
140101;1200;71;;;
140101;1300;36;;;
140101;1400;44;;;
140101;1500;144;;;
140101;1600;4;;;
140101;1700;11;;;
140101;1800;40;;;
140101;1900;31;;;
140101;2000;64;;;
140101;2100;47;;;
140101;2200;27;;;
140101;2300;49;;;
140102;0000;25;;;
140102;0100;32;;;
140102;0200;56;;;
140102;0300;65;;;
140102;0400;38;;;
140102;0500;55;;;
140102;0600;30;;;
140102;0700;23;;;
140102;0800;42;;;
140102;0900;44;;;
140102;1000;37;;;
140102;1100;54;;;
140102;1200;68;;;
140102;1300;88;;;
140102;1400;;;144;
140102;1500;;;0;
140102;1600;;;10;
140102;1700;26;;;
140102;1800;4;;;
140102;1900;6;;;
140102;2000;24;;;
140102;2100;24;;;
140102;2200;59;;;
140102;2300;26;;;
140103;0000;67;;;
140103;0100;46;;;
140103;0200;34;;;
140103;0300;30;;;
140103;0400;27;;;
140103;0500;36;;;
140103;0600;30;;;
140103;0700;49;;;
140103;0800;36;;;
140103;0900;58;;;
140103;1000;40;;;
140103;1100;76;;;
140103;1200;59;;;
140103;1300;81;;;
140103;1400;171;;;
140103;1500;324;;;
140103;1600;249;;;
140103;1700;224;;;
140103;1800;135;;;
140103;1900;106;;;
140103;2000;132;;;
140103;2100;73;;;
140103;2200;75;;;
140103;2300;66;;;
140104;0000;104;;;
140104;0100;97;;;
140104;0200;73;;;
140104;0300;65;;;
140104;0400;79;;;
140104;0500;72;;;
140104;0600;77;;;
140104;0700;45;;;
140104;0800;81;;;
140104;0900;115;;;
140104;1000;21;;;
140104;1100;43;;;
140104;1200;41;;;
140104;1300;68;;;
140104;1400;65;;;
140104;1500;71;;;
140104;1600;58;;;
140104;1700;70;;;
140104;1800;96;;;
140104;1900;113;;;
140104;2000;117;;;
140104;2100;95;;;
140104;2200;102;;;
140104;2300;118;;;
140105;0000;112;;;
140105;0100;118;;;
140105;0200;91;;;
140105;0300;74;;;
140105;0400;64;;;
140105;0500;71;;;
140105;0600;77;;;
140105;0700;56;;;
140105;0800;52;;;
140105;0900;57;;;
140105;1000;65;;;
140105;1100;77;;;
140105;1200;65;;;
140105;1300;77;;;
140105;1400;68;;;
140105;1500;73;;;
140105;1600;74;;;
140105;1700;68;;;
140105;1800;77;;;
140105;1900;92;;;
140105;2000;96;;;
140105;2100;83;;;
140105;2200;79;;;
140105;2300;64;;;
140106;0000;67;;;
140106;0100;58;;;
140106;0200;77;;;
140106;0300;99;;;
140106;0400;83;;;
140106;0500;89;;;
140106;0600;104;;;
140106;0700;91;;;
140106;0800;94;;;
140106;0900;79;;;
140106;1000;98;;;
140106;1100;94;;;
140106;1200;79;;;
140106;1300;122;;;
140106;1400;131;;;
140106;1500;178;;;
140106;1600;209;;;
140106;1700;60;;;
140106;1800;65;;;
140106;1900;62;;;
140106;2000;60;;;
140106;2100;44;;;
140106;2200;58;;;
140106;2300;60;;;
140107;0000;162;;;
140107;0100;203;;;
140107;0200;21;;;
140107;0300;33;;;
140107;0400;62;;;
140107;0500;67;;;
140107;0600;97;;;
140107;0700;66;;;
140107;0800;50;;;
140107;0900;53;;;
140107;1000;53;;;
140107;1100;56;;;
140107;1200;49;;;
140107;1300;85;;;
140107;1400;108;;;
140107;1500;129;;;
140107;1600;53;;;
140107;1700;59;;;
140107;1800;55;;;
140107;1900;51;;;
140107;2000;66;;;
140107;2100;62;;;
140107;2200;83;;;
140107;2300;57;;;
140108;0000;84;;;
140108;0100;67;;;
140108;0200;41;;;
140108;0300;69;;;
140108;0400;76;;;
140108;0500;84;;;
140108;0600;113;;;
140108;0700;74;;;
140108;0800;70;;;
140108;0900;88;;;
140108;1000;86;;;
140108;1100;87;;;
140108;1200;84;;;
140108;1300;136;;;
140108;1400;181;;;
140108;1500;137;;;
140108;1600;117;;;
140108;1700;125;;;
140108;1800;104;;;
140108;1900;82;;;
140108;2000;108;;;
140108;2100;91;;;
140108;2200;96;;;
140108;2300;103;;;
140109;0000;80;;;
140109;0100;219;;;
140109;0200;49;;;
140109;0300;65;;;
140109;0400;73;;;
140109;0500;89;;;
140109;0600;109;;;
140109;0700;91;;;
140109;0800;99;;;
140109;0900;168;;;
140109;1000;456;;;
140109;1100;222;;;
140109;1200;189;;;
140109;1300;93;;;
140109;1400;115;;;
140109;1500;117;;;
140109;1600;240;;;
140109;1700;20;;;
140109;1800;52;;;
140109;1900;95;;;
140109;2000;122;;;
140109;2100;130;;;
140109;2200;116;;;
140109;2300;115;;;
140110;0000;73;;;
140110;0100;58;;;
140110;0200;112;;;
140110;0300;65;;;
140110;0400;29;;;
140110;0500;81;;;
140110;0600;100;;;
140110;0700;73;;;
140110;0800;59;;;
140110;0900;130;;;
140110;1000;44;;;
140110;1100;55;;;
140110;1200;100;;;
140110;1300;91;;;
140110;1400;95;;;
140110;1500;61;;;
140110;1600;104;;;
140110;1700;93;;;
140110;1800;61;;;
140110;1900;59;;;
140110;2000;63;;;
140110;2100;62;;;
140110;2200;107;;;
140110;2300;36;;;
140111;0000;36;;;
140111;0100;59;;;
140111;0200;76;;;
140111;0300;133;;;
140111;0400;87;;;
140111;0500;26;;;
140111;0600;63;;;
140111;0700;56;;;
140111;0800;71;;;
140111;0900;66;;;
140111;1000;102;;;
140111;1100;87;;;
140111;1200;87;;;
140111;1300;66;;;
140111;1400;83;;;
140111;1500;98;;;
140111;1600;87;;;
140111;1700;87;;;
140111;1800;101;;;
140111;1900;140;;;
140111;2000;228;;;
140111;2100;15;;;
140111;2200;43;;;
140111;2300;50;;;
140112;0000;36;;;
140112;0100;40;;;
140112;0200;37;;;
140112;0300;56;;;
140112;0400;44;;;
140112;0500;39;;;
140112;0600;51;;;
140112;0700;63;;;
140112;0800;57;;;
140112;0900;67;;;
140112;1000;80;;;
140112;1100;81;;;
140112;1200;68;;;
140112;1300;84;;;
140112;1400;89;;;
140112;1500;77;;;
140112;1600;68;;;
140112;1700;82;;;
140112;1800;53;;;
140112;1900;75;;;
140112;2000;87;;;
140112;2100;53;;;
140112;2200;56;;;
140112;2300;37;;;
140113;0000;59;;;
140113;0100;45;;;
140113;0200;47;;;
140113;0300;48;;;
140113;0400;50;;;
140113;0500;41;;;
140113;0600;42;;;
140113;0700;50;;;
140113;0800;30;;;
140113;0900;57;;;
140113;1000;52;;;
140113;1100;76;;;
140113;1200;53;;;
140113;1300;71;;;
140113;1400;51;;;
140113;1500;61;;;
140113;1600;55;;;
140113;1700;81;;;
140113;1800;52;;;
140113;1900;46;;;
140113;2000;71;;;
140113;2100;71;;;
140113;2200;49;;;
140113;2300;40;;;
140114;0000;42;;;
140114;0100;50;;;
140114;0200;74;;;
140114;0300;114;;;
140114;0400;5;;;
140114;0500;41;;;
140114;0600;88;;;
140114;0700;92;;;
140114;0800;81;;;
140114;0900;59;;;
140114;1000;68;;;
140114;1100;69;;;
140114;1200;92;;;
140114;1300;68;;;
140114;1400;71;;;
140114;1500;61;;;
140114;1600;80;;;
140114;1700;82;;;
140114;1800;183;;;
140114;1900;50;;;
140114;2000;86;;;
140114;2100;51;;;
140114;2200;60;;;
140114;2300;57;;;
140115;0000;50;;;
140115;0100;50;;;
140115;0200;53;;;
140115;0300;82;;;
140115;0400;61;;;
140115;0500;70;;;
140115;0600;94;;;
140115;0700;66;;;
140115;0800;105;;;
140115;0900;135;;;
140115;1000;115;;;
140115;1100;88;;;
140115;1200;81;;;
140115;1300;87;;;
140115;1400;;;103;
140115;1500;;;0;
140115;1600;;;0;
140115;1700;33;;;
140115;1800;4;;;
140115;1900;9;;;
140115;2000;12;;;
140115;2100;38;;;
140115;2200;42;;;
140115;2300;68;;;
140116;0000;10;;;
140116;0100;46;;;
140116;0200;13;;;
140116;0300;21;;;
140116;0400;43;;;
140116;0500;30;;;
140116;0600;20;;;
140116;0700;37;;;
140116;0800;17;;;
140116;0900;32;;;
140116;1000;47;;;
140116;1100;51;;;
140116;1200;68;;;
140116;1300;49;;;
140116;1400;34;;;
140116;1500;44;;;
140116;1600;63;;;
140116;1700;69;;;
140116;1800;84;;;
140116;1900;72;;;
140116;2000;89;;;
140116;2100;72;;;
140116;2200;44;;;
140116;2300;39;;;
140117;0000;45;;;
140117;0100;34;;;
140117;0200;18;;;
140117;0300;25;;;
140117;0400;38;;;
140117;0500;31;;;
140117;0600;33;;;
140117;0700;36;;;
140117;0800;44;;;
140117;0900;43;;;
140117;1000;18;;;
140117;1100;48;;;
140117;1200;61;;;
140117;1300;40;;;
140117;1400;57;;;
140117;1500;65;;;
140117;1600;65;;;
140117;1700;52;;;
140117;1800;54;;;
140117;1900;83;;;
140117;2000;62;;;
140117;2100;22;;;
140117;2200;25;;;
140117;2300;35;;;
140118;0000;31;;;
140118;0100;27;;;
140118;0200;29;;;
140118;0300;35;;;
140118;0400;46;;;
140118;0500;63;;;
140118;0600;54;;;
140118;0700;23;;;
140118;0800;35;;;
140118;0900;31;;;
140118;1000;40;;;
140118;1100;50;;;
140118;1200;44;;;
140118;1300;73;;;
140118;1400;61;;;
140118;1500;86;;;
140118;1600;66;;;
140118;1700;74;;;
140118;1800;63;;;
140118;1900;56;;;
140118;2000;94;;;
140118;2100;47;;;
140118;2200;50;;;
140118;2300;43;;;
140119;0000;45;;;
140119;0100;34;;;
140119;0200;51;;;
140119;0300;24;;;
140119;0400;31;;;
140119;0500;25;;;
140119;0600;27;;;
140119;0700;19;;;
140119;0800;22;;;
140119;0900;36;;;
140119;1000;41;;;
140119;1100;47;;;
140119;1200;59;;;
