FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140101;0100;4,7;;;
140101;0200;3,7;;;
140101;0300;3,90001;;;
140101;0400;2,90001;;;
140101;0500;1;;;
140101;0600;2,40001;;;
140101;0700;8,80002;;;
140101;0800;14;;;
140101;0900;18,6;;;
140101;1000;23;;;
140101;1100;28,2;;;
140101;1200;30,9;;;
140101;1300;31,9;;;
140101;1400;33,3;;;
140101;1500;33,9001;;;
140101;1600;33,2001;;;
140101;1700;31,7;;;
140101;1800;20,9;;;
140101;1900;13,1;;;
140101;2000;9,20001;;;
140101;2100;7,7;;;
140101;2200;8,40001;;;
140101;2300;1,3;;;
140102;0000;5,30001;;;
140102;0100;11,5;;;
140102;0200;10,8;;;
140102;0300;10;;;
140102;0400;8,00002;;;
140102;0500;5,50001;;;
140102;0600;5,90001;;;
140102;0700;10,5;;;
140102;0800;14,7;;;
140102;0900;19,8;;;
140102;1000;23,5;;;
140102;1100;26,5;;;
140102;1200;28,7;;;
140102;1300;26,7;;;
140102;1400;;;;
140102;1500;;;;
140102;1600;;;;
140102;1700;;;;
140102;1800;;;;
140102;1900;;;;
140102;2000;;;;
140102;2100;;;;
140102;2200;;;;
140102;2300;;;;
140103;0000;;;;
140103;0100;;;;
140103;0200;;;;
140103;0300;;;;
140103;0400;;;;
140103;0500;;;;
140103;0600;;;;
140103;0700;;;;
140103;0800;;;;
140103;0900;;;;
140103;1000;;;;
140103;1100;;;;
140103;1200;;;;
140103;1300;;;;
140103;1400;;;;
140103;1500;33,6;;;
140103;1600;31,4;;;
140103;1700;31,6;;;
140103;1800;24,4;;;
140103;1900;28,9;;;
140103;2000;22,5;;;
140103;2100;19,1;;;
140103;2200;14,7;;;
140103;2300;13,7;;;
140104;0000;12,5;;;
140104;0100;11,1;;;
140104;0200;9,00002;;;
140104;0300;7,00001;;;
140104;0400;3,3;;;
140104;0500;1;;;
140104;0600;3;;;
140104;0700;7,80001;;;
140104;0800;13,9;;;
140104;0900;19,6;;;
140104;1000;25,3;;;
140104;1100;29,5;;;
140104;1200;33,7001;;;
140104;1300;45,7001;;;
140104;1400;44,9001;;;
140104;1500;34,8;;;
140104;1600;34,3;;;
140104;1700;36,4001;;;
140104;1800;33,9001;;;
140104;1900;30,9;;;
140104;2000;20;;;
140104;2100;13,6;;;
140104;2200;6,7;;;
140104;2300;6,40001;;;
140105;0000;5,10001;;;
140105;0100;7,2;;;
140105;0200;6,00001;;;
140105;0300;7,30001;;;
140105;0400;5,30001;;;
140105;0500;4,40001;;;
140105;0600;7,2;;;
140105;0700;21,3;;;
140105;0800;27,1;;;
140105;0900;29,8;;;
140105;1000;33,2001;;;
140105;1100;36,9001;;;
140105;1200;38,9001;;;
140105;1300;40,8;;;
140105;1400;44,2001;;;
140105;1500;43,1;;;
140105;1600;40,0001;;;
140105;1700;39,6;;;
140105;1800;37,8;;;
140105;1900;32,5001;;;
140105;2000;25;;;
140105;2100;20,9;;;
140105;2200;18,5;;;
140105;2300;18,6;;;
140106;0000;17,8;;;
140106;0100;13,9;;;
140106;0200;11,6;;;
140106;0300;5,40001;;;
140106;0400;2,90001;;;
140106;0500;1,1;;;
140106;0600;1,9;;;
140106;0700;11,6;;;
140106;0800;21,5;;;
140106;0900;35,3;;;
140106;1000;47,2001;;;
140106;1100;55,8;;;
140106;1200;68,3002;;;
140106;1300;67,7001;;;
140106;1400;65,9001;;;
140106;1500;52,2001;;;
140106;1600;40,4001;;;
140106;1700;30,8;;;
140106;1800;28,8;;;
140106;1900;25,8;;;
140106;2000;23,5;;;
140106;2100;22,1;;;
140106;2200;18,6;;;
140106;2300;11,1;;;
140107;0000;10,2;;;
140107;0100;15,8;;;
140107;0200;15,8;;;
140107;0300;14;;;
140107;0400;12,5;;;
140107;0500;7,30001;;;
140107;0600;1,7;;;
140107;0700;8,30002;;;
140107;0800;19,2;;;
140107;0900;28,5;;;
140107;1000;38,0001;;;
140107;1100;45,8;;;
