FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140113;0000;28;;;
140113;0100;15;;;
140113;0200;22;;;
140113;0300;21;;;
140113;0400;20;;;
140113;0500;28;;;
140113;0600;21;;;
140113;0700;25;;;
140113;0800;21;;;
140113;0900;17;;;
140113;1000;10;;;
140113;1100;13;;;
140113;1200;40;;;
140113;1300;21;;;
140113;1400;20;;;
140113;1500;10;;;
140113;1600;6;;;
140113;1700;4;;;
140113;1800;4;;;
140113;1900;4;;;
140113;2000;4;;;
140113;2100;4;;;
140113;2200;4;;;
140113;2300;11;;;
140114;0000;6;;;
140114;0100;4;;;
140114;0200;9;;;
140114;0300;9;;;
140114;0400;16;;;
140114;0500;18;;;
140114;0600;18;;;
140114;0700;22;;;
140114;0800;11;;;
140114;0900;6;;;
140114;1000;4;;;
140114;1100;5;;;
140114;1200;7;;;
140114;1300;12;;;
140114;1400;10;;;
140114;1500;12;;;
140114;1600;6;;;
140114;1700;7;;;
140114;1800;16;;;
140114;1900;25;;;
140114;2000;20;;;
140114;2100;36;;;
140114;2200;36;;;
140114;2300;25;;;
140115;0000;25;;;
140115;0100;17;;;
140115;0200;11;;;
140115;0300;20;;;
140115;0400;18;;;
140115;0500;21;;;
140115;0600;24;;;
140115;0700;15;;;
140115;0800;8;;;
140115;0900;32;;;
140115;1000;26;;;
140115;1100;17;;;
140115;1200;20;;;
140115;1300;22;;;
140115;1400;13;;;
140115;1500;11;;;
140115;1600;20;;;
140115;1700;24;;;
140115;1800;12;;;
140115;1900;30;;;
140115;2000;25;;;
140115;2100;22;;;
140115;2200;45;;;
140115;2300;49;;;
140116;0000;31;;;
140116;0100;17;;;
140116;0200;22;;;
140116;0300;30;;;
140116;0400;38;;;
140116;0500;37;;;
140116;0600;31;;;
140116;0700;39;;;
140116;0800;29;;;
140116;0900;39;;;
140116;1000;25;;;
140116;1100;20;;;
140116;1200;14;;;
140116;1300;21;;;
140116;1400;29;;;
140116;1500;25;;;
140116;1600;28;;;
140116;1700;14;;;
140116;1800;9;;;
140116;1900;26;;;
140116;2000;20;;;
140116;2100;31;;;
140116;2200;17;;;
140116;2300;12;;;
140117;0000;29;;;
140117;0100;29;;;
140117;0200;26;;;
140117;0300;14;;;
140117;0400;17;;;
140117;0500;12;;;
140117;0600;6;;;
140117;0700;5;;;
140117;0800;12;;;
140117;0900;6;;;
140117;1000;8;;;
140117;1100;12;;;
140117;1200;16;;;
140117;1300;23;;;
140117;1400;13;;;
140117;1500;6;;;
140117;1600;10;;;
140117;1700;6;;;
140117;1800;5;;;
140117;1900;18;;;
140117;2000;17;;;
140117;2100;9;;;
140117;2200;5;;;
140117;2300;10;;;
140118;0000;5;;;
140118;0100;5;;;
140118;0200;11;;;
140118;0300;7;;;
140118;0400;11;;;
