FECHA (YYMMDD);HORA (HHMM);;
140101;0100;47,6924;
140101;0200;53,7233;
140101;0300;61,0107;
140101;0400;63,0175;
140101;0500;63,3975;
140101;0600;66,2716;
140101;0700;57,4908;
140101;0800;52,1442;
140101;0900;44,3442;
140101;1000;40,5508;
140101;1100;34,9883;
140101;1200;29,6467;
140101;1300;26,1017;
140101;1400;25,145;
140101;1500;24,27;
140101;1600;23,5325;
140101;1700;23,8375;
140101;1800;32,5983;
140101;1900;38,9532;
140101;2000;42,8392;
140101;2100;42,5533;
140101;2200;43,0807;
140101;2300;51,145;
140102;0000;51,4683;
140102;0100;46,285;
140102;0200;51,0732;
140102;0300;57,0542;
140102;0400;61,1958;
140102;0500;63,4658;
140102;0600;63,6108;
140102;0700;57,0925;
140102;0800;52,8716;
140102;0900;48,1117;
140102;1000;43,645;
140102;1100;38,9242;
140102;1200;34,5858;
140102;1300;31,4022;
140102;1400;;
140102;1500;;
140102;1600;;
140102;1700;22,1375;
140102;1800;21,4967;
140102;1900;22,9567;
140102;2000;26,2817;
140102;2100;29,4267;
140102;2200;31,7183;
140102;2300;32,09;
140103;0000;34,9667;
140103;0100;37,9717;
140103;0200;41,3275;
140103;0300;45,8625;
140103;0400;49,8358;
140103;0500;54,3224;
140103;0600;57,3783;
140103;0700;52,8633;
140103;0800;45,9158;
140103;0900;40,5917;
140103;1000;35,9067;
140103;1100;32,0242;
140103;1200;27,5575;
140103;1300;22,7392;
140103;1400;17,9042;
140103;1500;13,2133;
140103;1600;11,4725;
140103;1700;12,7083;
140103;1800;14,1725;
140103;1900;18,6875;
140103;2000;20,0275;
140103;2100;21,8692;
140103;2200;25,365;
140103;2300;26,7075;
140104;0000;27,005;
140104;0100;29,4958;
140104;0200;33,4125;
140104;0300;39,7708;
140104;0400;53,3817;
140104;0500;55,6317;
140104;0600;51,7283;
140104;0700;45,9758;
140104;0800;39,7632;
140104;0900;34,995;
140104;1000;28,7075;
140104;1100;23,7983;
140104;1200;22,8633;
140104;1300;26,3142;
140104;1400;22,7892;
140104;1500;18,8625;
140104;1600;18,7367;
140104;1700;20,7633;
140104;1800;21,655;
140104;1900;25,125;
140104;2000;31,0608;
140104;2100;33,4542;
140104;2200;37,2308;
140104;2300;43,0008;
140105;0000;50,4449;
140105;0100;53,7533;
140105;0200;57,4708;
140105;0300;61,9474;
140105;0400;59,9808;
140105;0500;64,0782;
140105;0600;60,5933;
140105;0700;51,8983;
140105;0800;47,5208;
140105;0900;43,9975;
140105;1000;41,5358;
140105;1100;38,6167;
140105;1200;38,0807;
140105;1300;36,8125;
140105;1400;34,74;
140105;1500;35,6817;
140105;1600;36,6733;
140105;1700;36,2975;
140105;1800;36,9325;
140105;1900;39,155;
140105;2000;43,8992;
140105;2100;47,1633;
140105;2200;52,7733;
140105;2300;57,7858;
140106;0000;61,6992;
140106;0100;64,3208;
140106;0200;66,6849;
140106;0300;71,2183;
140106;0400;73,2207;
140106;0500;73,6875;
140106;0600;70,9032;
140106;0700;60,5292;
140106;0800;52,8217;
140106;0900;44,4833;
140106;1000;39,95;
140106;1100;37,1092;
140106;1200;33,5292;
140106;1300;29,7842;
140106;1400;25,4167;
140106;1500;16,3825;
140106;1600;13,0875;
140106;1700;10,8233;
140106;1800;12,4167;
140106;1900;14,6083;
140106;2000;18,295;
140106;2100;21,27;
140106;2200;24,2467;
140106;2300;32,9867;
140107;0000;40,7325;
140107;0100;34,8467;
140107;0200;36,2133;
140107;0300;43,545;
140107;0400;47,7883;
140107;0500;53,825;
140107;0600;57,2667;
140107;0700;50,4717;
140107;0800;44,335;
140107;0900;38,8625;
140107;1000;30,73;
140107;1100;27,245;
140107;1200;24,2567;
140107;1300;21,4042;
140107;1400;17,68;
140107;1500;14,2983;
140107;1600;12,7717;
140107;1700;11,965;
140107;1800;13,8867;
140107;1900;16,1558;
140107;2000;21,9917;
140107;2100;23,8842;
140107;2200;25,1383;
140107;2300;32,4117;
140108;0000;36,3192;
140108;0100;33,9142;
140108;0200;29,9117;
140108;0300;43,7175;
140108;0400;50,4092;
140108;0500;54,1575;
140108;0600;52,5558;
140108;0700;44,8033;
140108;0800;39,3192;
140108;0900;32,5483;
140108;1000;31,2383;
140108;1100;29,6108;
140108;1200;28,5242;
140108;1300;31,3958;
140108;1400;32,4617;
140108;1500;34,7809;
140108;1600;36,3192;
140108;1700;40,1908;
140108;1800;44,3192;
140108;1900;48,9292;
140108;2000;55,8392;
140108;2100;63,2607;
140108;2200;65,6742;
140108;2300;68,59;
140109;0000;73,225;
140109;0100;76,7758;
140109;0200;78,9399;
140109;0300;81,725;
140109;0400;81,1033;
140109;0500;80,6858;
140109;0600;79,1274;
140109;0700;72,3025;
140109;0800;68,9058;
140109;0900;60,8716;
140109;1000;54,0649;
140109;1100;48,375;
140109;1200;41,9442;
