FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140101;0100;23;;;
140101;0200;20;;;
140101;0300;21;;;
140101;0400;16;;;
140101;0500;24;;;
140101;0600;16;;;
140101;0700;22;;;
140101;0800;17;;;
140101;0900;26;;;
140101;1000;29;;;
140101;1100;26;;;
140101;1200;96;;;
140101;1300;142;;;
140101;1400;16;;;
140101;1500;12;;;
140101;1600;15;;;
140101;1700;23;;;
140101;1800;32;;;
140101;1900;38;;;
140101;2000;24;;;
140101;2100;14;;;
140101;2200;21;;;
140101;2300;16;;;
140102;0000;27;;;
140102;0100;27;;;
140102;0200;27;;;
140102;0300;28;;;
140102;0400;21;;;
140102;0500;23;;;
140102;0600;22;;;
140102;0700;21;;;
140102;0800;28;;;
140102;0900;32;;;
140102;1000;40;;;
140102;1100;46;;;
140102;1200;77;;;
140102;1300;59;;;
140102;1400;57;;;
140102;1500;45;;;
140102;1600;35;;;
140102;1700;34;;;
140102;1800;40;;;
140102;1900;38;;;
140102;2000;46;;;
140102;2100;30;;;
140102;2200;34;;;
140102;2300;29;;;
140103;0000;39;;;
140103;0100;27;;;
140103;0200;26;;;
140103;0300;27;;;
140103;0400;26;;;
140103;0500;27;;;
140103;0600;24;;;
140103;0700;29;;;
140103;0800;30;;;
140103;0900;30;;;
140103;1000;43;;;
140103;1100;52;;;
140103;1200;48;;;
140103;1300;39;;;
140103;1400;43;;;
140103;1500;53;;;
140103;1600;49;;;
140103;1700;51;;;
140103;1800;45;;;
140103;1900;67;;;
140103;2000;65;;;
140103;2100;55;;;
140103;2200;46;;;
140103;2300;42;;;
140104;0000;43;;;
140104;0100;42;;;
140104;0200;38;;;
140104;0300;32;;;
140104;0400;31;;;
140104;0500;31;;;
140104;0600;32;;;
140104;0700;41;;;
140104;0800;39;;;
140104;0900;40;;;
140104;1000;47;;;
140104;1100;42;;;
140104;1200;41;;;
140104;1300;35;;;
140104;1400;35;;;
140104;1500;42;;;
140104;1600;51;;;
140104;1700;67;;;
140104;1800;70;;;
140104;1900;86;;;
140104;2000;82;;;
140104;2100;67;;;
140104;2200;58;;;
140104;2300;33;;;
140105;0000;26;;;
140105;0100;34;;;
140105;0200;35;;;
140105;0300;40;;;
140105;0400;40;;;
140105;0500;41;;;
140105;0600;40;;;
140105;0700;33;;;
140105;0800;44;;;
140105;0900;40;;;
140105;1000;42;;;
140105;1100;45;;;
140105;1200;52;;;
140105;1300;50;;;
140105;1400;49;;;
140105;1500;50;;;
140105;1600;46;;;
140105;1700;71;;;
140105;1800;61;;;
140105;1900;64;;;
140105;2000;60;;;
140105;2100;49;;;
140105;2200;56;;;
140105;2300;48;;;
140106;0000;57;;;
140106;0100;49;;;
140106;0200;49;;;
140106;0300;45;;;
140106;0400;46;;;
140106;0500;49;;;
140106;0600;48;;;
140106;0700;50;;;
140106;0800;56;;;
140106;0900;57;;;
140106;1000;63;;;
140106;1100;69;;;
140106;1200;72;;;
140106;1300;80;;;
140106;1400;93;;;
140106;1500;72;;;
140106;1600;56;;;
140106;1700;62;;;
140106;1800;56;;;
140106;1900;48;;;
140106;2000;35;;;
140106;2100;30;;;
140106;2200;33;;;
140106;2300;16;;;
140107;0000;20;;;
140107;0100;27;;;
140107;0200;34;;;
140107;0300;32;;;
140107;0400;27;;;
140107;0500;30;;;
140107;0600;35;;;
140107;0700;29;;;
140107;0800;37;;;
140107;0900;36;;;
140107;1000;45;;;
140107;1100;49;;;
140107;1200;54;;;
140107;1300;67;;;
140107;1400;70;;;
140107;1500;57;;;
140107;1600;56;;;
140107;1700;48;;;
140107;1800;46;;;
140107;1900;48;;;
140107;2000;53;;;
140107;2100;34;;;
140107;2200;26;;;
140107;2300;16;;;
140108;0000;21;;;
140108;0100;24;;;
140108;0200;28;;;
140108;0300;32;;;
140108;0400;37;;;
140108;0500;46;;;
140108;0600;50;;;
140108;0700;48;;;
140108;0800;55;;;
140108;0900;55;;;
140108;1000;58;;;
140108;1100;73;;;
140108;1200;69;;;
140108;1300;73;;;
