FECHA (YYMMDD);HORA (HHMM);;
140115;1800;44;
140115;1900;49;
140115;2000;53;
140115;2100;56;
140115;2200;59;
140115;2300;63;
140116;0000;66;
140116;0100;70;
140116;0200;72;
140116;0300;77;
140116;0400;78;
140116;0500;81;
140116;0600;80;
140116;0700;69;
140116;0800;61;
140116;0900;57;
140116;1000;54;
140116;1100;47;
140116;1200;43;
140116;1300;40;
140116;1400;40;
140116;1500;39;
140116;1600;39;
140116;1700;40;
140116;1800;43;
140116;1900;48;
140116;2000;53;
140116;2100;55;
140116;2200;58;
140116;2300;61;
140117;0000;65;
140117;0100;71;
140117;0200;69;
140117;0300;69;
140117;0400;70;
140117;0500;72;
140117;0600;74;
140117;0700;64;
140117;0800;55;
140117;0900;48;
140117;1000;45;
140117;1100;42;
140117;1200;40;
140117;1300;39;
140117;1400;38;
140117;1500;38;
140117;1600;38;
140117;1700;38;
140117;1800;39;
140117;1900;44;
140117;2000;47;
140117;2100;52;
140117;2200;56;
140117;2300;58;
140118;0000;60;
140118;0100;62;
140118;0200;64;
140118;0300;67;
140118;0400;73;
140118;0500;77;
140118;0600;77;
140118;0700;71;
140118;0800;59;
140118;0900;58;
140118;1000;48;
140118;1100;40;
140118;1200;39;
140118;1300;36;
140118;1400;37;
140118;1500;38;
140118;1600;40;
140118;1700;42;
140118;1800;38;
140118;1900;42;
140118;2000;44;
140118;2100;47;
140118;2200;50;
140118;2300;51;
140119;0000;52;
140119;0100;55;
140119;0200;58;
140119;0300;62;
140119;0400;66;
140119;0500;71;
140119;0600;72;
140119;0700;62;
140119;0800;53;
140119;0900;47;
140119;1000;44;
140119;1100;41;
140119;1200;39;
140119;1300;37;
140119;1400;36;
140119;1500;36;
140119;1600;36;
140119;1700;37;
140119;1800;39;
140119;1900;44;
140119;2000;51;
140119;2100;58;
140119;2200;62;
140119;2300;63;
140120;0000;64;
140120;0100;66;
140120;0200;68;
140120;0300;75;
140120;0400;77;
140120;0500;73;
140120;0600;73;
140120;0700;63;
140120;0800;57;
140120;0900;50;
140120;1000;45;
140120;1100;41;
140120;1200;37;
140120;1300;38;
140120;1400;38;
140120;1500;37;
140120;1600;37;
140120;1700;35;
140120;1800;37;
140120;1900;40;
140120;2000;48;
140120;2100;54;
140120;2200;59;
140120;2300;62;
140121;0000;65;
140121;0100;71;
140121;0200;74;
140121;0300;77;
140121;0400;78;
140121;0500;81;
140121;0600;79;
140121;0700;66;
140121;0800;58;
140121;0900;48;
140121;1000;43;
140121;1100;40;
140121;1200;36;
140121;1300;32;
140121;1400;32;
140121;1500;32;
140121;1600;31;
140121;1700;30;
140121;1800;35;
140121;1900;42;
140121;2000;50;
140121;2100;53;
140121;2200;56;
140121;2300;58;
140122;0000;61;
140122;0100;62;
140122;0200;71;
140122;0300;75;
140122;0400;77;
140122;0500;78;
140122;0600;76;
140122;0700;69;
140122;0800;63;
140122;0900;56;
140122;1000;48;
140122;1100;42;
140122;1200;41;
140122;1300;40;
140122;1400;38;
140122;1500;38;
140122;1600;37;
140122;1700;37;
140122;1800;38;
140122;1900;41;
140122;2000;49;
140122;2100;53;
140122;2200;56;
140122;2300;57;
140123;0000;57;
140123;0100;60;
140123;0200;65;
140123;0300;71;
140123;0400;74;
140123;0500;80;
140123;0600;78;
140123;0700;73;
140123;0800;62;
140123;0900;56;
140123;1000;51;
140123;1100;44;
140123;1200;41;
140123;1300;39;
140123;1400;36;
140123;1500;36;
140123;1600;32;
140123;1700;33;
140123;1800;36;
140123;1900;47;
140123;2000;68;
140123;2100;74;
140123;2200;76;
140123;2300;78;
140124;0000;79;
140124;0100;80;
140124;0200;84;
140124;0300;86;
140124;0400;88;
140124;0500;90;
140124;0600;91;
140124;0700;88;
140124;0800;79;
140124;0900;65;
140124;1000;59;
140124;1100;54;
140124;1200;47;
140124;1300;41;
140124;1400;39;
140124;1500;38;
140124;1600;37;
140124;1700;37;
140124;1800;37;
140124;1900;39;
140124;2000;40;
140124;2100;42;
140124;2200;43;
140124;2300;47;
140125;0000;49;
140125;0100;56;
140125;0200;69;
140125;0300;73;
140125;0400;71;
140125;0500;71;
140125;0600;71;
140125;0700;57;
140125;0800;44;
140125;0900;41;
140125;1000;39;
140125;1100;33;
140125;1200;31;
140125;1300;29;
140125;1400;29;
140125;1500;28;
140125;1600;28;
140125;1700;28;
140125;1800;29;
140125;1900;32;
140125;2000;33;
140125;2100;38;
140125;2200;45;
140125;2300;49;
140126;0000;53;
140126;0100;65;
140126;0200;72;
140126;0300;70;
140126;0400;71;
140126;0500;73;
140126;0600;69;
140126;0700;56;
140126;0800;47;
140126;0900;39;
140126;1000;36;
140126;1100;34;
140126;1200;33;
140126;1300;33;
140126;1400;32;
140126;1500;32;
140126;1600;31;
140126;1700;32;
140126;1800;33;
140126;1900;37;
140126;2000;46;
140126;2100;52;
140126;2200;56;
140126;2300;58;
140127;0000;63;
140127;0100;67;
140127;0200;74;
140127;0300;80;
140127;0400;80;
140127;0500;83;
140127;0600;85;
140127;0700;78;
140127;0800;68;
140127;0900;60;
140127;1000;53;
140127;1100;45;
140127;1200;42;
140127;1300;41;
140127;1400;43;
140127;1500;44;
140127;1600;44;
140127;1700;44;
140127;1800;47;
140127;1900;51;
140127;2000;57;
140127;2100;58;
140127;2200;59;
140127;2300;62;
140128;0000;63;
140128;0100;66;
140128;0200;70;
140128;0300;75;
140128;0400;79;
140128;0500;81;
140128;0600;80;
140128;0700;65;
140128;0800;56;
140128;0900;53;
140128;1000;49;
140128;1100;46;
140128;1200;38;
140128;1300;33;
140128;1400;32;
140128;1500;31;
140128;1600;32;
140128;1700;32;
140128;1800;34;
140128;1900;34;
140128;2000;37;
140128;2100;40;
140128;2200;40;
140128;2300;40;
140129;0000;45;
140129;0100;50;
140129;0200;57;
140129;0300;57;
140129;0400;66;
140129;0500;71;
140129;0600;70;
140129;0700;57;
140129;0800;43;
140129;0900;36;
140129;1000;34;
140129;1100;32;
140129;1200;26;
140129;1300;22;
140129;1400;22;
140129;1500;22;
140129;1600;24;
140129;1700;23;
140129;1800;23;
140129;1900;25;
140129;2000;27;
140129;2100;35;
140129;2200;40;
140129;2300;38;
140130;0000;39;
140130;0100;48;
140130;0200;53;
140130;0300;54;
140130;0400;62;
140130;0500;65;
140130;0600;64;
140130;0700;54;
140130;0800;44;
140130;0900;38;
140130;1000;33;
140130;1100;34;
140130;1200;34;
140130;1300;30;
140130;1400;27;
140130;1500;26;
140130;1600;24;
140130;1700;21;
140130;1800;20;
140130;1900;26;
140130;2000;35;
140130;2100;38;
140130;2200;39;
140130;2300;40;
140131;0000;41;
140131;0100;44;
140131;0200;50;
140131;0300;57;
140131;0400;59;
140131;0500;60;
140131;0600;64;
140131;0700;52;
140131;0800;43;
140131;0900;39;
140131;1000;34;
140131;1100;30;
140131;1200;28;
140131;1300;27;
140131;1400;26;
140131;1500;26;
140131;1600;27;
140131;1700;26;
140131;1800;30;
140131;1900;38;
140131;2000;43;
140131;2100;46;
140131;2200;49;
140131;2300;52;
140201;0000;55;
140201;0100;56;
140201;0200;57;
140201;0300;62;
140201;0400;66;
140201;0500;69;
140201;0600;74;
140201;0700;58;
140201;0800;53;
140201;0900;48;
140201;1000;42;
140201;1100;39;
140201;1200;37;
140201;1300;35;
140201;1400;35;
140201;1500;31;
140201;1600;29;
140201;1700;26;
140201;1800;26;
140201;1900;29;
140201;2000;31;
140201;2100;31;
140201;2200;31;
140201;2300;33;
140202;0000;35;
140202;0100;44;
140202;0200;52;
140202;0300;59;
140202;0400;67;
140202;0500;71;
140202;0600;73;
140202;0700;65;
140202;0800;55;
140202;0900;47;
140202;1000;37;
140202;1100;32;
140202;1200;30;
140202;1300;29;
140202;1400;29;
140202;1500;27;
140202;1600;28;
140202;1700;27;
140202;1800;28;
140202;1900;37;
140202;2000;44;
140202;2100;45;
140202;2200;49;
140202;2300;53;
140203;0000;55;
140203;0100;60;
140203;0200;66;
140203;0300;70;
140203;0400;73;
140203;0500;77;
140203;0600;79;
140203;0700;64;
140203;0800;60;
140203;0900;53;
140203;1000;46;
140203;1100;41;
140203;1200;38;
140203;1300;33;
140203;1400;33;
140203;1500;31;
140203;1600;29;
140203;1700;29;
140203;1800;28;
140203;1900;31;
140203;2000;39;
140203;2100;41;
140203;2200;44;
140203;2300;48;
140204;0000;51;
140204;0100;54;
140204;0200;60;
140204;0300;64;
140204;0400;69;
140204;0500;74;
140204;0600;75;
140204;0700;62;
140204;0800;51;
140204;0900;46;
140204;1000;40;
140204;1100;36;
140204;1200;34;
140204;1300;33;
140204;1400;33;
140204;1500;31;
140204;1600;29;
140204;1700;27;
140204;1800;26;
140204;1900;35;
140204;2000;44;
140204;2100;51;
140204;2200;56;
140204;2300;58;
140205;0000;62;
140205;0100;66;
140205;0200;76;
140205;0300;75;
140205;0400;79;
140205;0500;83;
140205;0600;79;
140205;0700;67;
140205;0800;55;
140205;0900;46;
140205;1000;45;
140205;1100;41;
140205;1200;35;
140205;1300;34;
140205;1400;33;
140205;1500;32;
140205;1600;31;
140205;1700;31;
140205;1800;43;
140205;1900;54;
140205;2000;59;
140205;2100;61;
140205;2200;63;
140205;2300;65;
140206;0000;66;
140206;0100;70;
140206;0200;69;
140206;0300;72;
140206;0400;73;
140206;0500;75;
140206;0600;77;
140206;0700;63;
140206;0800;55;
140206;0900;48;
140206;1000;46;
140206;1100;44;
140206;1200;40;
140206;1300;37;
140206;1400;34;
140206;1500;34;
140206;1600;33;
140206;1700;32;
140206;1800;33;
140206;1900;34;
140206;2000;35;
140206;2100;38;
140206;2200;38;
140206;2300;41;
140207;0000;42;
140207;0100;44;
140207;0200;50;
140207;0300;61;
140207;0400;66;
140207;0500;70;
140207;0600;72;
140207;0700;59;
140207;0800;46;
140207;0900;47;
140207;1000;43;
140207;1100;35;
140207;1200;31;
140207;1300;28;
140207;1400;27;
140207;1500;26;
140207;1600;26;
140207;1700;27;
140207;1800;27;
140207;1900;31;
140207;2000;36;
140207;2100;39;
140207;2200;44;
140207;2300;49;
140208;0000;58;
140208;0100;61;
140208;0200;61;
140208;0300;66;
140208;0400;70;
140208;0500;75;
140208;0600;74;
140208;0700;67;
140208;0800;56;
140208;0900;53;
140208;1000;47;
140208;1100;39;
140208;1200;36;
140208;1300;32;
140208;1400;30;
140208;1500;31;
140208;1600;31;
140208;1700;31;
140208;1800;33;
140208;1900;37;
140208;2000;43;
140208;2100;49;
140208;2200;50;
140208;2300;52;
140209;0000;54;
140209;0100;62;
140209;0200;70;
140209;0300;72;
140209;0400;76;
140209;0500;79;
140209;0600;80;
140209;0700;70;
140209;0800;58;
140209;0900;47;
140209;1000;41;
140209;1100;36;
140209;1200;31;
140209;1300;30;
140209;1400;29;
140209;1500;27;
140209;1600;27;
140209;1700;28;
140209;1800;30;
140209;1900;31;
140209;2000;39;
140209;2100;43;
140209;2200;46;
140209;2300;50;
140210;0000;62;
140210;0100;72;
140210;0200;72;
140210;0300;75;
140210;0400;76;
140210;0500;78;
140210;0600;76;
140210;0700;59;
140210;0800;53;
140210;0900;44;
140210;1000;38;
140210;1100;34;
140210;1200;34;
140210;1300;31;
140210;1400;32;
140210;1500;32;
140210;1600;32;
140210;1700;34;
140210;1800;39;
140210;1900;47;
140210;2000;55;
140210;2100;62;
140210;2200;67;
140210;2300;71;
140211;0000;74;
140211;0100;78;
140211;0200;81;
140211;0300;83;
140211;0400;84;
140211;0500;87;
140211;0600;88;
140211;0700;76;
140211;0800;67;
140211;0900;59;
140211;1000;55;
140211;1100;49;
140211;1200;42;
140211;1300;36;
140211;1400;30;
140211;1500;31;
140211;1600;30;
140211;1700;32;
140211;1800;35;
140211;1900;36;
140211;2000;39;
140211;2100;43;
140211;2200;44;
140211;2300;42;
140212;0000;43;
140212;0100;45;
140212;0200;49;
140212;0300;57;
140212;0400;63;
140212;0500;69;
140212;0600;72;
140212;0700;61;
140212;0800;52;
140212;0900;40;
140212;1000;32;
140212;1100;30;
140212;1200;28;
140212;1300;25;
140212;1400;22;
140212;1500;25;
140212;1600;26;
140212;1700;24;
