FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140111;0100;10,1;;;
140111;0200;16,2;;;
140111;0300;13,8;;;
140111;0400;4,80001;;;
140111;0500;8,20001;;;
140111;0600;4,80001;;;
140111;0700;8,70001;;;
140111;0800;13,7;;;
140111;0900;22,2;;;
140111;1000;26,7;;;
140111;1100;41,7001;;;
140111;1200;51,6;;;
140111;1300;50,3;;;
140111;1400;45,2001;;;
140111;1500;41,2001;;;
140111;1600;43,3;;;
140111;1700;51,1;;;
140111;1800;45,3;;;
140111;1900;29,6;;;
140111;2000;23,7;;;
140111;2100;17;;;
140111;2200;12,6;;;
140111;2300;15,1;;;
140112;0000;14,2;;;
140112;0100;12,5;;;
140112;0200;11,1;;;
140112;0300;11,3;;;
140112;0400;10,7;;;
140112;0500;9,50002;;;
140112;0600;6,10001;;;
140112;0700;13,1;;;
140112;0800;20,5;;;
140112;0900;29;;;
140112;1000;35,5001;;;
140112;1100;39,2001;;;
140112;1200;39,8;;;
140112;1300;43,8;;;
140112;1400;43,0001;;;
140112;1500;43,1;;;
140112;1600;42,6;;;
140112;1700;30,2;;;
140112;1800;26;;;
140112;1900;23,9;;;
140112;2000;19,4;;;
140112;2100;16,6;;;
140112;2200;14,8;;;
140112;2300;14;;;
140113;0000;12,5;;;
140113;0100;11,4;;;
140113;0200;9,60002;;;
140113;0300;8,00002;;;
140113;0400;9,30002;;;
140113;0500;9,50002;;;
140113;0600;10,3;;;
140113;0700;8,70001;;;
140113;0800;9,80002;;;
140113;0900;12,5;;;
140113;1000;17,4;;;
140113;1100;24,4;;;
140113;1200;28,1;;;
140113;1300;29,4;;;
140113;1400;32,8;;;
140113;1500;35,3;;;
140113;1600;35,3;;;
140113;1700;35,3;;;
140113;1800;30,2;;;
140113;1900;21,6;;;
140113;2000;15,2;;;
140113;2100;12,1;;;
140113;2200;9,80002;;;
140113;2300;10,5;;;
140114;0000;10,8;;;
140114;0100;9,60002;;;
140114;0200;8,90001;;;
140114;0300;10,3;;;
140114;0400;5,30001;;;
140114;0500;3,6;;;
140114;0600;3,3;;;
140114;0700;5,90001;;;
140114;0800;13,6;;;
140114;0900;21,7;;;
140114;1000;32,1;;;
140114;1100;47,0001;;;
140114;1200;47,9001;;;
140114;1300;47,3;;;
140114;1400;48,0001;;;
140114;1500;49,6;;;
140114;1600;51,2001;;;
140114;1700;55,5001;;;
140114;1800;58,6;;;
140114;1900;46,7001;;;
140114;2000;30,5;;;
140114;2100;25,5;;;
140114;2200;24,3;;;
140114;2300;23,2;;;
140115;0000;18,4;;;
140115;0100;19,8;;;
140115;0200;10,7;;;
140115;0300;14,6;;;
140115;0400;11,6;;;
140115;0500;5,40001;;;
140115;0600;3,90001;;;
140115;0700;10,6;;;
140115;0800;26,1;;;
140115;0900;37,1;;;
140115;1000;45,4001;;;
140115;1100;46,2001;;;
140115;1200;42,5001;;;
140115;1300;43,6;;;
140115;1400;46,4001;;;
140115;1500;47,1;;;
140115;1600;45,5001;;;
140115;1700;43,3;;;
140115;1800;43,1;;;
140115;1900;38,9001;;;
140115;2000;24,9;;;
140115;2100;20;;;
140115;2200;19,6;;;
140115;2300;19,3;;;
140116;0000;18,3;;;
140116;0100;16,1;;;
140116;0200;12,9;;;
140116;0300;12,3;;;
140116;0400;9,00002;;;
