FECHA (YYMMDD);HORA (HHMM);;
140101;0100;0;
140101;0200;0;
140101;0300;0;
140101;0400;0;
140101;0500;1;
140101;0600;47;
140101;0700;164;
140101;0800;598;
140101;0900;827;
140101;1000;979;
140101;1100;1100;
140101;1200;1164;
140101;1300;1179;
140101;1400;1168;
140101;1500;1088;
140101;1600;904;
140101;1700;668;
140101;1800;341;
140101;1900;44;
140101;2000;0;
140101;2100;0;
140101;2200;0;
140101;2300;0;
140102;0000;0;
140102;0100;0;
140102;0200;0;
140102;0300;0;
140102;0400;0;
140102;0500;1;
140102;0600;47;
140102;0700;169;
140102;0800;596;
140102;0900;832;
140102;1000;985;
140102;1100;1103;
140102;1200;1167;
140102;1300;1189;
140102;1400;1177;
140102;1500;1102;
140102;1600;900;
140102;1700;674;
140102;1800;343;
140102;1900;45;
140102;2000;0;
140102;2100;0;
140102;2200;0;
140102;2300;0;
140103;0000;0;
140103;0100;0;
140103;0200;0;
140103;0300;0;
140103;0400;0;
140103;0500;1;
140103;0600;46;
140103;0700;160;
140103;0800;618;
140103;0900;856;
140103;1000;1016;
140103;1100;1138;
140103;1200;1206;
140103;1300;1228;
140103;1400;1232;
140103;1500;1158;
140103;1600;981;
140103;1700;713;
140103;1800;378;
140103;1900;47;
140103;2000;0;
140103;2100;0;
140103;2200;0;
140103;2300;0;
140104;0000;0;
140104;0100;0;
140104;0200;0;
140104;0300;0;
140104;0400;0;
140104;0500;0;
140104;0600;44;
140104;0700;157;
140104;0800;608;
140104;0900;838;
140104;1000;989;
140104;1100;1114;
140104;1200;1181;
140104;1300;1202;
140104;1400;1198;
140104;1500;1137;
140104;1600;970;
140104;1700;717;
140104;1800;367;
140104;1900;44;
140104;2000;0;
140104;2100;0;
140104;2200;0;
140104;2300;0;
140105;0000;0;
140105;0100;0;
140105;0200;0;
140105;0300;0;
140105;0400;0;
140105;0500;0;
140105;0600;46;
140105;0700;152;
140105;0800;533;
140105;0900;761;
140105;1000;929;
140105;1100;1045;
140105;1200;1120;
