FECHA (YYMMDD);HORA (HHMM);;
140101;0100;18,7;
140101;0200;17,2;
140101;0300;16,1;
140101;0400;15,2;
140101;0500;14,5;
140101;0600;15,4;
140101;0700;18,3;
140101;0800;21,7;
140101;0900;23,5;
140101;1000;24,4;
140101;1100;25,9;
140101;1200;27,4;
140101;1300;28,5;
140101;1400;29,4;
140101;1500;30;
140101;1600;30,3;
140101;1700;30,4;
140101;1800;29,6;
140101;1900;27;
140101;2000;24,6;
140101;2100;23;
140101;2200;21,8;
140101;2300;20,8;
140102;0000;20,3;
140102;0100;19,4;
140102;0200;18,2;
140102;0300;17,3;
140102;0400;16;
140102;0500;14,9;
140102;0600;14,7;
140102;0700;16,1;
140102;0800;19,3;
140102;0900;22,4;
140102;1000;23;
140102;1100;24,9;
140102;1200;26;
140102;1300;26,9;
140102;1400;27,6;
140102;1500;27,9;
140102;1600;27,8;
140102;1700;27,8;
140102;1800;27,1;
140102;1900;25,5;
140102;2000;23,3;
140102;2100;21,6;
140102;2200;20,2;
140102;2300;18,9;
140103;0000;17,8;
140103;0100;16,8;
140103;0200;15,7;
140103;0300;14,7;
140103;0400;13,3;
140103;0500;12,8;
140103;0600;13,8;
140103;0700;16;
140103;0800;19;
140103;0900;21,7;
140103;1000;23,7;
140103;1100;25,8;
140103;1200;27,3;
140103;1300;28,8;
140103;1400;30;
140103;1500;30,9;
140103;1600;31;
140103;1700;30,6;
140103;1800;29,4;
140103;1900;27,7;
140103;2000;25,6;
140103;2100;24;
140103;2200;22,4;
140103;2300;20,6;
140104;0000;18,8;
140104;0100;17,5;
140104;0200;17,6;
140104;0300;16,6;
140104;0400;15,6;
140104;0500;15,1;
140104;0600;15,9;
140104;0700;19;
140104;0800;22,8;
140104;0900;26,3;
140104;1000;28,9;
140104;1100;30,2;
140104;1200;32,3;
140104;1300;33,7;
140104;1400;34,6;
140104;1500;34,8;
140104;1600;34,9;
140104;1700;34,7;
140104;1800;34;
140104;1900;32;
140104;2000;29,8;
140104;2100;28,7;
140104;2200;27,3;
140104;2300;26,4;
140105;0000;24,7;
140105;0100;22,5;
140105;0200;21,3;
140105;0300;20,2;
140105;0400;19,5;
140105;0500;18,8;
140105;0600;19,7;
140105;0700;23;
140105;0800;25,1;
140105;0900;26,4;
140105;1000;27,8;
140105;1100;28,7;
140105;1200;29,7;
140105;1300;30,7;
140105;1400;31,8;
140105;1500;32;
140105;1600;31,8;
140105;1700;31,4;
140105;1800;30,1;
140105;1900;28,1;
140105;2000;26,1;
140105;2100;25,1;
140105;2200;24,3;
140105;2300;23,4;
140106;0000;22,4;
140106;0100;21,4;
140106;0200;20,4;
140106;0300;20,1;
140106;0400;19,8;
140106;0500;19,2;
140106;0600;19,9;
140106;0700;22,4;
140106;0800;25,4;
140106;0900;28,3;
140106;1000;29,7;
140106;1100;30,7;
140106;1200;32,3;
140106;1300;32,9;
140106;1400;33,6;
140106;1500;34;
140106;1600;34,5;
140106;1700;34,2;
140106;1800;33,5;
140106;1900;31,3;
140106;2000;28,8;
140106;2100;27,9;
140106;2200;27,3;
140106;2300;25,7;
140107;0000;23,3;
140107;0100;22,2;
140107;0200;21;
140107;0300;19,9;
140107;0400;19;
140107;0500;17,3;
140107;0600;17,9;
140107;0700;20,6;
140107;0800;25,2;
140107;0900;26,6;
140107;1000;28,7;
140107;1100;30,9;
140107;1200;32;
140107;1300;33,3;
140107;1400;34,1;
140107;1500;34,4;
140107;1600;34,3;
140107;1700;34,3;
140107;1800;33,4;
140107;1900;31,3;
140107;2000;28,7;
140107;2100;27,3;
140107;2200;25,2;
140107;2300;24,2;
140108;0000;22,5;
140108;0100;21,3;
140108;0200;19,6;
140108;0300;18,3;
140108;0400;17,1;
140108;0500;18;
140108;0600;19,4;
140108;0700;22;
140108;0800;23,7;
140108;0900;28;
140108;1000;30,8;
140108;1100;31,1;
140108;1200;31;
140108;1300;31;
140108;1400;30,5;
140108;1500;29,8;
140108;1600;29,4;
140108;1700;27,8;
140108;1800;25,6;
140108;1900;23,1;
140108;2000;21,5;
140108;2100;20,3;
140108;2200;19,4;
140108;2300;18,8;
140109;0000;18,2;
140109;0100;17,6;
140109;0200;17;
140109;0300;16,1;
140109;0400;16,2;
140109;0500;15,5;
140109;0600;15,7;
140109;0700;18,2;
140109;0800;21,1;
140109;0900;24,1;
140109;1000;25,8;
140109;1100;27,1;
140109;1200;27,8;
140109;1300;28,7;
140109;1400;29,6;
140109;1500;30,1;
140109;1600;30,1;
140109;1700;30;
140109;1800;29,2;
140109;1900;27,7;
140109;2000;25,4;
140109;2100;23,9;
140109;2200;23,1;
140109;2300;21,9;
140110;0000;20,2;
140110;0100;19,1;
140110;0200;18;
140110;0300;16,9;
140110;0400;15,7;
140110;0500;14,9;
140110;0600;15,9;
140110;0700;18,3;
140110;0800;22;
140110;0900;24,9;
140110;1000;26,7;
140110;1100;27,7;
140110;1200;29;
140110;1300;30,4;
140110;1400;31,4;
140110;1500;32,1;
140110;1600;32,3;
140110;1700;32,1;
140110;1800;31,2;
