FECHA (YYMMDD);HORA (HHMM);;
140101;0100;0;
140101;0200;0;
140101;0300;0;
140101;0400;0;
140101;0500;2,68808;
140101;0600;87,7267;
140101;0700;266,4;
140101;0800;462,6;
140101;0900;644,907;
140101;1000;798,5;
140101;1100;907,083;
140101;1200;954,833;
140101;1300;947,333;
140101;1400;882,417;
140101;1500;760,616;
140101;1600;599,191;
140101;1700;412,05;
140101;1800;216,267;
140101;1900;54,498;
140101;2000;0,580083;
140101;2100;0;
140101;2200;0;
140101;2300;0;
140102;0000;0;
140102;0100;0;
140102;0200;0;
140102;0300;0;
140102;0400;0;
140102;0500;2,53958;
140102;0600;79,0449;
140102;0700;268,308;
140102;0800;465,158;
140102;0900;649,875;
140102;1000;806,3;
140102;1100;917,167;
140102;1200;965,75;
140102;1300;962,167;
140102;1400;898,333;
140102;1500;778,6;
140102;1600;616,833;
140102;1700;428,9;
140102;1800;229,75;
140102;1900;57,8866;
140102;2000;0,609082;
140102;2100;0;
140102;2200;0;
140102;2300;0;
140103;0000;0;
140103;0100;0;
140103;0200;0;
140103;0300;0;
140103;0400;0;
140103;0500;2,5;
140103;0600;92,6775;
140103;0700;280,367;
140103;0800;478,45;
140103;0900;668,133;
140103;1000;825,941;
140103;1100;939;
140103;1200;992,333;
140103;1300;988,25;
140103;1400;926,417;
140103;1500;803,941;
140103;1600;633,074;
140103;1700;438,7;
140103;1800;233,333;
140103;1900;55,4328;
140103;2000;0,609917;
140103;2100;0;
140103;2200;0;
140103;2300;0;
140104;0000;0;
140104;0100;0;
140104;0200;0;
140104;0300;0;
140104;0400;0;
140104;0500;2,251;
140104;0600;90,5767;
140104;0700;273,858;
140104;0800;489,375;
140104;0900;669,05;
140104;1000;829,032;
140104;1100;939,5;
140104;1200;992,417;
140104;1300;985,083;
140104;1400;917,583;
140104;1500;791,8;
140104;1600;622,116;
140104;1700;425,858;
140104;1800;221,892;
140104;1900;55,1354;
140104;2000;0,559999;
140104;2100;0;
140104;2200;0;
140104;2300;0;
