FECHA (YYMMDD);HORA (HHMM);;
140101;0100;15,7408;
140101;0200;14,6183;
140101;0300;13,5533;
140101;0400;12,9267;
140101;0500;12,3133;
140101;0600;12,555;
140101;0700;14,5133;
140101;0800;16,7292;
140101;0900;18,745;
140101;1000;20,6708;
140101;1100;22,8958;
140101;1200;24,3958;
140101;1300;25,1208;
140101;1400;26,1442;
140101;1500;26,8158;
140101;1600;27,8342;
140101;1700;27,9592;
140101;1800;26,1658;
140101;1900;23,9275;
140101;2000;21,2733;
140101;2100;19,315;
140101;2200;17,9825;
140101;2300;17,8025;
140102;0000;17,36;
140102;0100;16,0775;
140102;0200;14,9158;
140102;0300;13,9767;
140102;0400;13,28;
140102;0500;12,6658;
140102;0600;12,5775;
140102;0700;14,1108;
140102;0800;15,6167;
140102;0900;17,5583;
140102;1000;19,0267;
140102;1100;20,3175;
140102;1200;21,55;
140102;1300;22,41;
140102;1400;23,3683;
140102;1500;24,25;
140102;1600;24,8892;
140102;1700;24,9075;
140102;1800;24,0675;
140102;1900;22,2517;
140102;2000;20,3333;
140102;2100;19,42;
140102;2200;18,325;
140102;2300;17,2858;
140103;0000;15,9183;
140103;0100;14,6208;
140103;0200;13,3517;
140103;0300;12;
140103;0400;11,03;
140103;0500;9,72417;
140103;0600;9,62999;
140103;0700;10,6842;
140103;0800;12,5692;
140103;0900;15,2275;
140103;1000;17,6192;
140103;1100;20,1075;
140103;1200;22,9883;
140103;1300;25,1458;
140103;1400;26,3067;
140103;1500;27,5483;
140103;1600;27,9608;
140103;1700;27,7567;
140103;1800;26,9325;
140103;1900;25,1792;
140103;2000;23,1617;
140103;2100;21,7825;
140103;2200;21,1958;
140103;2300;20,2508;
140104;0000;19,4425;
140104;0100;18,2433;
140104;0200;16,3833;
140104;0300;15,2675;
140104;0400;14,3342;
140104;0500;13,4375;
140104;0600;13,2308;
140104;0700;14,0667;
140104;0800;15,7542;
140104;0900;18,4125;
140104;1000;21,5983;
140104;1100;24,1258;
140104;1200;26,375;
140104;1300;28,0708;
140104;1400;29,5233;
140104;1500;30,9075;
140104;1600;32,0317;
140104;1700;32,3267;
140104;1800;32,1367;
140104;1900;30,3458;
140104;2000;28,4092;
140104;2100;26,4342;
140104;2200;25,8858;
140104;2300;24,715;
140105;0000;23,0792;
140105;0100;21,85;
