FECHA (YYMMDD);HORA (HHMM);;
140113;1700;424,65;
140113;1800;223,65;
140113;1900;55,772;
140113;2000;0,348583;
140113;2100;0;
140113;2200;0;
140113;2300;0;
140114;0000;0;
140114;0100;0;
140114;0200;0;
140114;0300;0;
140114;0400;0;
140114;0500;1,48258;
140114;0600;55,8325;
140114;0700;225,075;
140114;0800;424,817;
140114;0900;617,149;
140114;1000;785,816;
140114;1100;909,083;
140114;1200;969,583;
140114;1300;975,25;
140114;1400;896,292;
140114;1500;781,042;
140114;1600;649,366;
140114;1700;467,208;
140114;1800;281,05;
140114;1900;88,22;
140114;2000;3,618;
140114;2100;0;
140114;2200;0;
140114;2300;0;
140115;0000;0;
140115;0100;0;
140115;0200;0;
140115;0300;0;
140115;0400;0;
140115;0500;1,25208;
140115;0600;58,605;
140115;0700;230,667;
140115;0800;424,342;
140115;0900;614,625;
140115;1000;778,241;
140115;1100;896,833;
140115;1200;951,417;
140115;1300;945,667;
140115;1400;903,333;
140115;1500;;
140115;1600;;
140115;1700;374,34;
140115;1800;196,633;
140115;1900;43,1161;
140115;2000;0,220667;
140115;2100;0;
140115;2200;0;
140115;2300;0;
140116;0000;0;
140116;0100;0;
140116;0200;0;
140116;0300;0;
140116;0400;0;
140116;0500;1,317;
140116;0600;48,6949;
140116;0700;198,275;
140116;0800;393,7;
140116;0900;584,741;
140116;1000;748,357;
140116;1100;871;
140116;1200;927,167;
140116;1300;927,167;
140116;1400;862,833;
140116;1500;746,375;
140116;1600;583,6;
140116;1700;390,5;
140116;1800;191,233;
140116;1900;41,1586;
140116;2000;0,2335;
140116;2100;0;
140116;2200;0;
140116;2300;0;
140117;0000;0;
140117;0100;0;
140117;0200;0;
140117;0300;0;
140117;0400;0;
140117;0500;1,44058;
140117;0600;49,8625;
140117;0700;205,958;
140117;0800;400,35;
140117;0900;591,083;
140117;1000;744,232;
140117;1100;869,167;
140117;1200;937,25;
140117;1300;948,667;
140117;1400;863,583;
140117;1500;746,816;
140117;1600;584,717;
140117;1700;389,5;
140117;1800;201,908;
140117;1900;44,7593;
140117;2000;0,218583;
140117;2100;0;
140117;2200;0;
140117;2300;0;
140118;0000;0;
140118;0100;0;
140118;0200;0;
140118;0300;0;
140118;0400;0;
140118;0500;0,65525;
140118;0600;49,1193;
140118;0700;206,675;
140118;0800;403,033;
140118;0900;600,032;
140118;1000;776,157;
140118;1100;571,199;
140118;1200;781,475;
140118;1300;932,333;
140118;1400;898,833;
140118;1500;761,633;
140118;1600;402,2;
140118;1700;220,967;
140118;1800;172,45;
140118;1900;42,9178;
140118;2000;0,1525;
140118;2100;0;
140118;2200;0;
140118;2300;0;
140119;0000;0;
140119;0100;0;
140119;0200;0;
140119;0300;0;
140119;0400;0;
140119;0500;0,668583;
140119;0600;50,6449;
140119;0700;224,675;
140119;0800;427,017;
140119;0900;618,517;
140119;1000;781,308;
140119;1100;899,833;
140119;1200;958,5;
140119;1300;960,083;
140119;1400;893,417;
140119;1500;774,899;
140119;1600;651,933;
140119;1700;;
140119;1800;189,511;
140119;1900;49,2723;
140119;2000;0,25875;
140119;2100;0;
