FECHA (YYMMDD);HORA (HHMM);;
140101;0100;51,8675;
140101;0200;61,035;
140101;0300;68,7583;
140101;0400;72,8407;
140101;0500;81,84;
140101;0600;84,2583;
140101;0700;75,8683;
140101;0800;66,8174;
140101;0900;54,1175;
140101;1000;45,4525;
140101;1100;37,1625;
140101;1200;30,5875;
140101;1300;26,7908;
140101;1400;25,1375;
140101;1500;26,0625;
140101;1600;24,775;
140101;1700;26,3175;
140101;1800;33,1167;
140101;1900;36,8358;
140101;2000;40,8592;
140101;2100;40,8642;
140101;2200;42,455;
140101;2300;41,0099;
140102;0000;43,9532;
140102;0100;50,4667;
140102;0200;56,4892;
140102;0300;60,2607;
140102;0400;61,8383;
140102;0500;61,8033;
140102;0600;62,02;
140102;0700;57,5132;
140102;0800;53,875;
140102;0900;49,4983;
140102;1000;44,6142;
140102;1100;38,9008;
140102;1200;32,6158;
140102;1300;30,1067;
140102;1400;27,4075;
140102;1500;24,62;
140102;1600;22,1617;
140102;1700;20,8783;
140102;1800;20,4458;
140102;1900;23,3758;
140102;2000;27,7992;
140102;2100;29,4475;
140102;2200;30,1125;
140102;2300;30,8233;
140103;0000;33,5375;
140103;0100;38,1982;
140103;0200;42,5875;
140103;0300;48,2292;
140103;0400;53,2599;
140103;0500;61,46;
140103;0600;62,1517;
140103;0700;58,6417;
140103;0800;53,1683;
140103;0900;46,6375;
140103;1000;40,5142;
140103;1100;35,5117;
140103;1200;28,8042;
140103;1300;22,8675;
140103;1400;16,8717;
140103;1500;11,84;
140103;1600;11,4008;
140103;1700;12,6842;
140103;1800;14,9375;
140103;1900;19,2358;
140103;2000;22,52;
140103;2100;24,1575;
140103;2200;24,5;
140103;2300;25,5225;
140104;0000;25,5925;
140104;0100;28,1167;
140104;0200;34,8958;
140104;0300;39,7599;
140104;0400;43,7675;
140104;0500;50,1658;
140104;0600;55,9442;
140104;0700;55,0225;
140104;0800;50,8783;
140104;0900;43,7549;
140104;1000;36,0692;
140104;1100;30,8758;
140104;1200;25,4917;
140104;1300;22,8233;
140104;1400;20,905;
140104;1500;19,785;
140104;1600;19,5992;
140104;1700;19,88;
140104;1800;20,9125;
140104;1900;25,3608;
140104;2000;27,9483;
140104;2100;31,5575;
140104;2200;27,6367;
140104;2300;28,6417;
140105;0000;33,5192;
140105;0100;39,325;
140105;0200;44,925;
140105;0300;52,3232;
140105;0400;58,3508;
140105;0500;63,9258;
140105;0600;62,3958;
140105;0700;55,9449;
140105;0800;52,435;
140105;0900;43,555;
140105;1000;34,9208;
140105;1100;33,2682;
140105;1200;34,8708;
140105;1300;33,7208;
140105;1400;33,8567;
140105;1500;34,8683;
140105;1600;33,7217;
140105;1700;29,1025;
140105;1800;28,1133;
140105;1900;34,6825;
140105;2000;40,79;
140105;2100;42,0157;
140105;2200;49,895;
140105;2300;56,1367;
140106;0000;59,6575;
140106;0100;64,6799;
140106;0200;69,0649;
140106;0300;67,2982;
140106;0400;66,6616;
140106;0500;69,23;
140106;0600;64,0166;
140106;0700;50,9358;
140106;0800;47,8267;
140106;0900;43,5433;
140106;1000;38,4067;
140106;1100;34,8075;
140106;1200;32,8942;
140106;1300;28,735;
140106;1400;19,8892;
140106;1500;12,9975;
140106;1600;10,4475;
140106;1700;13,0417;
140106;1800;14,5508;
140106;1900;14,42;
140106;2000;19,8367;
140106;2100;22,0717;
140106;2200;25,9075;
140106;2300;30,9867;
140107;0000;33,9417;
140107;0100;31,7717;
140107;0200;39,7442;
140107;0300;44,0692;
140107;0400;46,8208;
140107;0500;53,0074;
140107;0600;59,5842;
140107;0700;59,0807;
140107;0800;54,4417;
140107;0900;47,2017;
140107;1000;40,0975;
140107;1100;32,2858;
140107;1200;28,1683;
140107;1300;23,9417;
140107;1400;17,1108;
140107;1500;15,1592;
140107;1600;13,9525;
140107;1700;12,8992;
140107;1800;13,6975;
140107;1900;16,7517;
140107;2000;21,9833;
140107;2100;22,6475;
140107;2200;22,2883;
140107;2300;28,47;
140108;0000;32,8091;
140108;0100;31,3383;
140108;0200;31,1892;
140108;0300;37,1467;
140108;0400;43,9075;
140108;0500;51,0892;
140108;0600;54,6092;
140108;0700;53,6233;
140108;0800;48,5591;
140108;0900;43,995;
140108;1000;36,3358;
140108;1100;30,4125;
140108;1200;28,3175;
140108;1300;24,79;
140108;1400;24,9425;
140108;1500;25,5717;
140108;1600;28,4475;
140108;1700;31,6142;
140108;1800;33,8133;
140108;1900;38,4449;
140108;2000;50,5658;
140108;2100;55,7417;
140108;2200;60,6792;
140108;2300;64,5066;
140109;0000;73,2107;
140109;0100;81,1917;
140109;0200;80,0132;
140109;0300;87,7167;
140109;0400;90,2;
140109;0500;88,5833;
140109;0600;88,7666;
140109;0700;83,5249;
140109;0800;76,1792;
140109;0900;65,2799;
140109;1000;50,6708;
140109;1100;44,31;
140109;1200;39,7167;
140109;1300;36,4767;
140109;1400;30,3708;
140109;1500;24,1975;
140109;1600;19,6008;
140109;1700;15,7033;
140109;1800;15,2558;
140109;1900;20,4683;
140109;2000;32,7;
140109;2100;37,9991;
140109;2200;42,7225;
140109;2300;49,6017;
140110;0000;55,7842;
140110;0100;63,0475;
140110;0200;69,5007;
140110;0300;80,9557;
140110;0400;88,5249;
140110;0500;92,1666;
140110;0600;92,3417;
140110;0700;88,225;
140110;0800;81,0449;
140110;0900;71,0941;
140110;1000;54,7942;
140110;1100;43,3583;
140110;1200;33,6258;
140110;1300;31,0742;
140110;1400;29,0592;
140110;1500;25,4542;
140110;1600;22,5725;
140110;1700;22,9817;
140110;1800;23,5608;
140110;1900;25,5308;
140110;2000;28,4858;
140110;2100;31,0183;
140110;2200;32,5016;
140110;2300;37,9767;
140111;0000;46,2524;
140111;0100;46,3692;
140111;0200;40,2125;
140111;0300;41,9399;
140111;0400;47,3091;
140111;0500;50,3307;
140111;0600;55,48;
140111;0700;55,2;
140111;0800;49,9675;
140111;0900;41,6675;
140111;1000;34,4708;
140111;1100;29,9992;
140111;1200;26,06;
140111;1300;21,8125;
140111;1400;17,7875;
140111;1500;12,9542;
140111;1600;12,6525;
140111;1700;14,2758;
140111;1800;16,49;
140111;1900;20,2925;
140111;2000;23,1983;
140111;2100;26,35;
140111;2200;31,9742;
140111;2300;38,5242;
140112;0000;50,1891;
140112;0100;58,9092;
140112;0200;60,4991;
140112;0300;64,6582;
140112;0400;67,9724;
140112;0500;73,4025;
140112;0600;68,085;
140112;0700;59,6407;
140112;0800;49,9042;
140112;0900;38,7425;
140112;1000;32,2117;
140112;1100;27,1167;
140112;1200;25,0442;
140112;1300;21,2825;
140112;1400;19,8867;
140112;1500;20,2842;
140112;1600;20,9592;
140112;1700;26,6175;
140112;1800;30,0933;
140112;1900;35,6042;
140112;2000;43,3766;
140112;2100;52,4667;
140112;2200;63,5575;
140112;2300;68,8291;
140113;0000;76,1382;
140113;0100;86,5249;
140113;0200;89,8167;
140113;0300;94,0582;
140113;0400;97,75;
140113;0500;99,0499;
140113;0600;97,6749;
140113;0700;96,6749;
140113;0800;93,4249;
140113;0900;84,0767;
140113;1000;72,2657;
140113;1100;58,97;
140113;1200;47,3342;
140113;1300;41,745;
140113;1400;34,2867;
140113;1500;32,0992;
140113;1600;31,8867;
140113;1700;32,375;
140113;1800;34,5408;
140113;1900;41,0208;
140113;2000;48,4042;
140113;2100;53,7533;
140113;2200;57,5242;
140113;2300;61,025;
140114;0000;65,1649;
140114;0100;70,9182;
140114;0200;75,0967;
140114;0300;72,8583;
140114;0400;75,7291;
140114;0500;81,8975;
140114;0600;79,1949;
140114;0700;66,9874;
140114;0800;60,9592;
140114;0900;50,71;
140114;1000;45,4399;
140114;1100;40,4449;
140114;1200;38,3042;
140114;1300;36,2524;
140114;1400;32,7657;
140114;1500;28,8583;
140114;1600;26,7017;
140114;1700;27,9808;
140114;1800;28,1667;
140114;1900;29,17;
140114;2000;39,0375;
140114;2100;42,5042;
140114;2200;45,0092;
140114;2300;46,6042;
140115;0000;53,1025;
140115;0100;54,2442;
140115;0200;57,2067;
140115;0300;57,71;
140115;0400;59,6183;
140115;0500;62;
140115;0600;63,0583;
140115;0700;57,8358;
140115;0800;50,5641;
140115;0900;46,7725;
140115;1000;45,915;
140115;1100;43,8867;
140115;1200;42,4083;
140115;1300;39,4142;
140115;1400;35,8675;
140115;1500;34,5092;
140115;1600;34,8917;
140115;1700;35,2367;
140115;1800;38,0542;
140115;1900;44,0125;
140115;2000;47,9482;
140115;2100;51,1108;
140115;2200;56,0192;
140115;2300;63,7682;
140116;0000;66,3833;
140116;0100;70,7908;
140116;0200;80,9292;
140116;0300;84,2583;
140116;0400;86,3833;
140116;0500;89,4249;
140116;0600;91,5833;
140116;0700;85,0166;
140116;0800;78,3966;
140116;0900;68,3942;
140116;1000;57,09;
140116;1100;47,6407;
140116;1200;43,54;
140116;1300;41,6274;
140116;1400;39,7967;
140116;1500;38,3058;
140116;1600;38,2708;
140116;1700;37,86;
140116;1800;39,3783;
140116;1900;43,4532;
140116;2000;50,41;
140116;2100;52,6858;
140116;2200;56,5375;
140116;2300;59,2175;
140117;0000;62,03;
140117;0100;66,9524;
140117;0200;68,0142;
140117;0300;70,1024;
140117;0400;73,9824;
140117;0500;79,4517;
140117;0600;83,1167;
140117;0700;76,0299;
140117;0800;68,0208;
140117;0900;60,3716;
140117;1000;48,0875;
140117;1100;44,6508;
140117;1200;40,4042;
140117;1300;38,61;
140117;1400;36,5875;
140117;1500;34,7725;
140117;1600;32,36;
140117;1700;31,8167;
140117;1800;33,5591;
140117;1900;42,6617;
140117;2000;48,6058;
140117;2100;53,1;
140117;2200;57,6883;
140117;2300;59,6899;
140118;0000;59,9233;
140118;0100;61,4708;
140118;0200;65,0249;
140118;0300;67,2842;
140118;0400;70,6991;
140118;0500;74,5057;
140118;0600;70,2858;
140118;0700;65,0425;
140118;0800;56,165;
140118;0900;49,5492;
140118;1000;43,9717;
140118;1100;41,015;
140118;1200;37,77;
140118;1300;35,1833;
140118;1400;33,1767;
140118;1500;32,2958;
140118;1600;32,5708;
140118;1700;32,3533;
140118;1800;38,1299;
140118;1900;42,865;
140118;2000;44,0092;
140118;2100;46,5958;
140118;2200;47,0742;
140118;2300;49,2117;
140119;0000;53,9683;
140119;0100;56,2675;
140119;0200;57,495;
140119;0300;60,0208;
140119;0400;63,595;
140119;0500;65,4532;
140119;0600;65,3267;
140119;0700;56,3658;
140119;0800;49,5533;
140119;0900;45,9033;
140119;1000;43,2183;
140119;1100;41,645;
140119;1200;38,2225;
140119;1300;36,8467;
140119;1400;34,2983;
140119;1500;32,0208;
140119;1600;31,8408;
140119;1700;34,0717;
140119;1800;37,9825;
140119;1900;44,8383;
140119;2000;52,2875;
140119;2100;55,7592;
140119;2200;57,8383;
140119;2300;59,8842;
140120;0000;59,9158;
140120;0100;63,9742;
140120;0200;65,235;
140120;0300;64,4266;
140120;0400;67,7632;
140120;0500;69,5299;
140120;0600;68,2716;
140120;0700;61,7192;
140120;0800;54,3692;
140120;0900;49,9108;
140120;1000;44,2375;
140120;1100;43,3907;
140120;1200;40,9433;
140120;1300;38,3917;
140120;1400;36,1258;
140120;1500;31,1992;
140120;1600;30,4467;
140120;1700;29,9225;
140120;1800;35,0533;
140120;1900;42,0157;
140120;2000;50,8042;
140120;2100;55,215;
140120;2200;58,96;
140120;2300;62,2767;
140121;0000;64,9449;
140121;0100;67,9216;
140121;0200;71,1257;
140121;0300;73,4482;
140121;0400;76,715;
140121;0500;82,85;
140121;0600;78,1924;
140121;0700;68,34;
140121;0800;61,7367;
140121;0900;48,9208;
140121;1000;41,78;
140121;1100;38,285;
140121;1200;34,6558;
140121;1300;32,0724;
140121;1400;29,9492;
140121;1500;26,7308;
140121;1600;23,7;
140121;1700;26,4525;
140121;1800;32,7083;
140121;1900;39,3267;
140121;2000;45,92;
140121;2100;47,8417;
140121;2200;55,5074;
140121;2300;60,3417;
140122;0000;63,6841;
140122;0100;66,4225;
140122;0200;69,3091;
140122;0300;70,3892;
140122;0400;72,2383;
140122;0500;80,2283;
140122;0600;83,8583;
140122;0700;80,9299;
140122;0800;78,0983;
140122;0900;70,3667;
140122;1000;61,6567;
140122;1100;48,7125;
140122;1200;35,6891;
140122;1300;33,1308;
140122;1400;32,1542;
140122;1500;30,9625;
140122;1600;29,7892;
140122;1700;29,3733;
140122;1800;37,6808;
140122;1900;45,5967;
140122;2000;52,2675;
140122;2100;53,3667;
140122;2200;53,1274;
140122;2300;57,8558;
140123;0000;65,3866;
140123;0100;70,8367;
140123;0200;70,0116;
140123;0300;74,1167;
140123;0400;80,6432;
140123;0500;83,1416;
140123;0600;80,9132;
140123;0700;76,73;
140123;0800;65,4282;
140123;0900;51,345;
140123;1000;45,81;
140123;1100;40,6058;
140123;1200;34,8774;
140123;1300;29,3542;
140123;1400;24,5667;
140123;1500;24,9917;
140123;1600;29,8758;
140123;1700;31,8642;
140123;1800;56,1108;
140123;1900;66,8716;
140123;2000;67,7433;
140123;2100;67,6416;
140123;2200;71,2699;
140123;2300;75,0817;
140124;0000;74,4741;
140124;0100;82,455;
140124;0200;84,7708;
140124;0300;81,8999;
140124;0400;80,705;
140124;0500;85,8417;
140124;0600;91,0917;
140124;0700;88,75;
140124;0800;84,2333;
140124;0900;77,1525;
140124;1000;69,5699;
140124;1100;54,3116;
140124;1200;41,5817;
140124;1300;38,6167;
140124;1400;34,2567;
140124;1500;31,4583;
140124;1600;29,3975;
140124;1700;27,935;
140124;1800;26,8867;
140124;1900;29,5742;
140124;2000;35,0858;
140124;2100;34,6216;
140124;2200;37,3033;
140124;2300;43,5517;
140125;0000;51,6382;
140125;0100;53,6583;
140125;0200;56,1533;
140125;0300;57,6125;
140125;0400;55,7767;
140125;0500;58,6742;
140125;0600;60,0724;
140125;0700;55,7717;
140125;0800;49,8417;
140125;0900;41,7233;
140125;1000;36,7825;
140125;1100;31,9317;
140125;1200;30,8667;
140125;1300;28,2792;
140125;1400;26,8133;
140125;1500;25,1217;
140125;1600;23,905;
140125;1700;22,3942;
140125;1800;23,4033;
140125;1900;34,2466;
140125;2000;40,3525;
140125;2100;44,3867;
140125;2200;46,9467;
140125;2300;49,5975;
140126;0000;50,0867;
140126;0100;51,9532;
140126;0200;57,2308;
140126;0300;61,1742;
140126;0400;62,0242;
140126;0500;63,1533;
140126;0600;64,5332;
140126;0700;63,0833;
140126;0800;55,0817;
140126;0900;48,5233;
140126;1000;39,7742;
140126;1100;31,8592;
140126;1200;31,68;
140126;1300;29,9;
140126;1400;28,7833;
140126;1500;27,0925;
140126;1600;26,0742;
140126;1700;26,2067;
140126;1800;29,0117;
140126;1900;37,1274;
140126;2000;45,0083;
140126;2100;49,5917;
140126;2200;54,8467;
140126;2300;58,5367;
140127;0000;62,9075;
140127;0100;66,2074;
140127;0200;72,3217;
140127;0300;87,1917;
140127;0400;91,25;
140127;0500;93,5166;
140127;0600;92,825;
140127;0700;85,7999;
140127;0800;76,7775;
140127;0900;68,2383;
140127;1000;53,8932;
140127;1100;44,21;
140127;1200;41,84;
140127;1300;42,9275;
140127;1400;43,5842;
140127;1500;41,9975;
140127;1600;39,0458;
140127;1700;38,2667;
140127;1800;39,8392;
140127;1900;43,5408;
140127;2000;47,6442;
140127;2100;53,5992;
140127;2200;58,1608;
140127;2300;61,3167;
140128;0000;64,8267;
140128;0100;66,2324;
140128;0200;68,2491;
140128;0300;71,995;
140128;0400;73,0558;
140128;0500;74,6924;
140128;0600;79,7274;
140128;0700;65,2699;
140128;0800;61,6158;
140128;0900;55,9175;
140128;1000;50,3725;
140128;1100;45,795;
140128;1200;41,9767;
140128;1300;36,0933;
140128;1400;30,9108;
140128;1500;27,1317;
140128;1600;25,2967;
140128;1700;25,6167;
140128;1800;26,6575;
140128;1900;27,4283;
140128;2000;32,6949;
140128;2100;34,3008;
140128;2200;35,2491;
140128;2300;43,8307;
140129;0000;45,7133;
140129;0100;47,7933;
140129;0200;43,925;
140129;0300;51,23;
140129;0400;56,6216;
140129;0500;62,0192;
140129;0600;68,3182;
140129;0700;65,21;
140129;0800;59,1692;
140129;0900;51,4883;
140129;1000;42,6375;
140129;1100;33,8417;
140129;1200;28,4475;
140129;1300;25,1292;
140129;1400;23,2;
140129;1500;19,5167;
140129;1600;18,7025;
140129;1700;18,6025;
140129;1800;17,3125;
140129;1900;17,6608;
140129;2000;18,2617;
